"","Species","Performance metric","ms_mod_ssp126_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"38","Cod","Catch IAV",0.192709957873937,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"39","Cod","P(Closed)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"40","Cod","Avg SSB Relative MSE",0.506278948851796,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"41","Cod","Avg terminal SSB Relative MSE",0.117000863880992,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0.0139124293785311,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0278248587570621,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"50","Cod","OM: Terminal B",476603.557585438,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"51","Cod","OM: Terminal SSB",214988.573590603,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",0.635535404771321,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.622016079831665,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.733287314413714,"ms_mod_ssp126_OM","ss_run_M_dynamicTier3_EM","TRUE"
