"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_fb40iter_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",359105.843545597,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"2","Pollock","Catch IAV",0.787210406833564,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.743248047472321,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00572203570544712,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0066875,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.009,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.2411875,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.002125,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0044375,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.2411875,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"14","Pollock","OM: Terminal B",924633.823881905,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",122705.938939626,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",192538.312461054,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",122.828767707334,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.591798539302659,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.351212327024585,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",56,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",56,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",71742.1381328744,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.442898081132559,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.607619720354878,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0164386705142087,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0184375,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.039,"ms_mod_ssp585_OM","ms_run_fb40iter_EM","FALSE",200
