"","Species","Performance metric","ms_mod_OM__ss_run_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",574363.94509163,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.292701820219843,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.00175,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.674702402089404,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00556375576077601,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0044375,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.0001875,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.008875,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0001875,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",4127081.57355911,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",701409.61378054,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",1017387.50229031,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",702.111725506046,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.693233137868262,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.737937730268735,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",98387.4598831229,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.136234640430626,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.471035490301865,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.242807441911684,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal B",1795142.03581971,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB",367756.31162478,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"39","Arrowtooth flounder","OM: Terminal Dynamic SB0",702851.237414586,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"40","Arrowtooth flounder","OM: Terminal SSB Depletion",368.124436060841,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"41","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.5219190962126,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.549482795095864,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"47","Cod","Average Catch",30866.3153414678,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"48","Cod","Catch IAV",0.243964334518227,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"49","Cod","P(Closed)",0.002875,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"50","Cod","Avg SSB Relative MSE",0.393289214660742,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"51","Cod","Avg terminal SSB Relative MSE",0.0173055569868669,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit)",0.008375,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"53","Cod","EM: P(SSB < SSBlimit)",0.00075,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"54","Cod","OM: P(Fy > Flimit)",0.28375,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"55","Cod","OM: P(SSB < SSBlimit)",0.0079375,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0098125,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.5605625,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",6.25e-05,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00725,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"60","Cod","OM: Terminal B",477152.875334058,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"61","Cod","OM: Terminal SSB",156660.303723004,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"62","Cod","OM: Terminal Dynamic SB0",417403.816575285,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"63","Cod","OM: Terminal SSB Depletion",156.817120843848,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.374401882318033,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"65","Cod","OM: Average SSB Depletion",0.388322165512481,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ss_run_Tier3_EM","FALSE",200
