"","Species","Performance metric","ms_mod_ssp126_OM__ms_run_fb40iter_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",485165.734949325,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"2","Pollock","Catch IAV",0.603257228102529,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"3","Pollock","P(Closed)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.777797847031293,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",0.0203438665230969,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.000282485875706215,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0.00155367231638418,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0.0663841807909605,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.06214689265537e-05,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00134180790960452,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0663841807909605,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"14","Pollock","OM: Terminal B",1204508.9455409,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"15","Pollock","OM: Terminal SSB",143536.483942678,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",0.572535389571361,"ms_mod_ssp126_OM","ms_run_fb40iter_EM","FALSE"
