"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ss_run_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",58946.8888460277,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.568739110381835,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.6683125,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.541918402114629,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0114765035540835,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.003625,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.6348125,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00725,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.6348125,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",49531.2694325332,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",11745.6133782692,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",3106.85536189718,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",11.7573707490182,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",5.04400305396097,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",1.68170161938788,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",74,"ms_mod_ricker_ssp245_OM","ss_run_Tier3_EM","TRUE",200
