"","Species","Performance metric","ms_mod_ricker_OM__ms_run_cmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",137192.046744554,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"2","Pollock","Catch IAV",0.293285883521103,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"3","Pollock","P(Closed)",0.3313125,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.712216334085303,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00452659980319721,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.4638125,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.5133125,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0.47425,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.5891875,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0190625,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0295,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.075875,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"14","Pollock","OM: Terminal B",181280.35072346,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",31786.2379375619,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",974271.781972986,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",31.8180559935555,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.0267478498333349,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",0.270716507091547,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",188,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",188,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",35570.6352089036,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.0785743334857072,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.485108163598897,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0224621782673355,"ms_mod_ricker_OM","ms_run_cmsy_EM","TRUE",200
