"","Species","Performance metric","ms_mod_ssp245_OM__ms_run_concmsy_EM_FALSEregen_TRUEcap","OM","EM","Cap"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"32","Arrowtooth flounder","OM: Terminal B",846501.105404172,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"33","Arrowtooth flounder","OM: Terminal SSB",99307.8068097678,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.457883716788987,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.459915750961643,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",1.62037472151583,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"37","Cod","Average Catch",27310.3330412933,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"38","Cod","Catch IAV",0.323147688403494,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"39","Cod","P(Closed)",0,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"40","Cod","Avg SSB Relative MSE",0.569844089254966,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"41","Cod","Avg terminal SSB Relative MSE",0.0193012329413774,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"42","Cod","EM: P(Fy > Flimit)",0.925706214689266,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"43","Cod","EM: P(SSB < SSBlimit)",0.731709039548023,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"44","Cod","OM: P(Fy > Flimit)",0.897598870056497,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"45","Cod","OM: P(SSB < SSBlimit)",0.353319209039548,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0291666666666667,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00105932203389831,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.378389830508475,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"50","Cod","OM: Terminal B",354330.001109606,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"51","Cod","OM: Terminal SSB",105032.555357364,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"52","Cod","OM: Terminal SSB Depletion",0.364200187156862,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.355020914535756,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
"54","Cod","OM: Average SSB Depletion",0.370000888508566,"ms_mod_ssp245_OM","ms_run_concmsy_EM","TRUE"
