"","Species","Performance metric","ms_mod_ssp585_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap"
"1","Pollock","Average Catch",526482.321665224,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"2","Pollock","Catch IAV",1.09164985625956,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"3","Pollock","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"4","Pollock","Avg SSB Relative MSE",0.880734515718209,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"5","Pollock","Avg terminal SSB Relative MSE",4148609591922549248,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"6","Pollock","EM: P(Fy > Flimit)",0.715183615819209,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"7","Pollock","EM: P(SSB < SSBlimit)",0.837146892655367,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"8","Pollock","OM: P(Fy > Flimit)",0.866666666666667,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0148305084745763,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.166313559322034,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.837146892655367,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"14","Pollock","OM: Terminal B",561778.805796659,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"15","Pollock","OM: Terminal SSB",54905.8426901651,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"16","Pollock","OM: Terminal SSB Depletion",54.9608034936587,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.252667956005924,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"18","Pollock","OM: Average SSB Depletion",0.173999833066863,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"19","Arrowtooth flounder","Average Catch",96724.973432546,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"20","Arrowtooth flounder","Catch IAV",0.680936994611506,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.712831101721799,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.484930495391313,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0.153601694915254,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.823658192090395,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.808898305084746,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.823658192090395,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"32","Arrowtooth flounder","OM: Terminal B",495911.410741982,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"33","Arrowtooth flounder","OM: Terminal SSB",30131.1515459949,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",30.1613128588537,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.275604375239633,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.219350569059071,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"37","Cod","Average Catch",27585.6801021491,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"38","Cod","Catch IAV",0.415135048093198,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"39","Cod","P(Closed)",0.000353107344632768,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"40","Cod","Avg SSB Relative MSE",0.5621409587746,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"41","Cod","Avg terminal SSB Relative MSE",0.0258228559120894,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"42","Cod","EM: P(Fy > Flimit)",0.907697740112994,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"43","Cod","EM: P(SSB < SSBlimit)",0.666031073446328,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"44","Cod","OM: P(Fy > Flimit)",0.884533898305085,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"45","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0248587570621469,"ms_mod_ssp585_OM","ms_run_concmsy_EM","FALSE"
