"","Species","Performance metric","ms_mod_OM__ms_run_concmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",1148671.39644996,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"2","Pollock","Catch IAV",0.5428149263376,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"3","Pollock","P(Closed)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.878980209528152,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.00527388641156001,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.7346875,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.656375,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.8681875,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.7840625,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0278125,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.1613125,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.028875,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.1565625,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"14","Pollock","OM: Terminal B",2844236.4989569,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",140137.610938071,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"16","Pollock","OM: Terminal Dynamic SB0",1017387.50229031,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion",140.277888826898,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.137315581398737,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"19","Pollock","OM: Average SSB Depletion",0.181038864022232,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"24","Arrowtooth flounder","Average Catch",132954.910068868,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"25","Arrowtooth flounder","Catch IAV",0.329730239516415,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.646667220082276,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0342383057865811,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0255625,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9624375,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.936875,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal B",1662082.65414562,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB",263756.614950675,"ms_mod_OM","ms_run_concmsy_EM","FALSE",200
