"","Species","Performance metric","ms_mod_ssp245_OM__ms_run_cmsy_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",775590.786551123,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"2","Pollock","Catch IAV",1.37490587951912,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"3","Pollock","P(Closed)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.914269051187161,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.0143656079117956,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.937,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.0683125,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0.9435625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0.829,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0045625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.011125,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.7606875,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"14","Pollock","OM: Terminal B",694796.381730432,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",27120.0630147918,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"16","Pollock","OM: Terminal SSB Depletion",27.1472102250168,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.172293290890672,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"18","Pollock","OM: Average SSB Depletion",0.154545497832486,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"19","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"20","Pollock","OM: SSB Collapse",135,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"21","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"22","Arrowtooth flounder","Average Catch",122867.326517834,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"23","Arrowtooth flounder","Catch IAV",1.15165959024042,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"24","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"25","Arrowtooth flounder","Avg SSB Relative MSE",0.937578638742676,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"26","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.519060603601572,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"27","Arrowtooth flounder","EM: P(Fy > Flimit)",0.5788125,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"28","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.695875,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"29","Arrowtooth flounder","OM: P(Fy > Flimit)",0.9625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"30","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.95,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"31","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"32","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.3836875,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"33","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"34","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.254125,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"35","Arrowtooth flounder","OM: Terminal B",352486.932120269,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"36","Arrowtooth flounder","OM: Terminal SSB",2366.52875334232,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"37","Arrowtooth flounder","OM: Terminal SSB Depletion",2.36889765099331,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"38","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.0109486171648102,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"39","Arrowtooth flounder","OM: Average SSB Depletion",0.0529268613615629,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"40","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"41","Arrowtooth flounder","OM: SSB Collapse",200,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"42","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"43","Cod","Average Catch",35215.2510364029,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"44","Cod","Catch IAV",0.570626218800365,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"45","Cod","P(Closed)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"46","Cod","Avg SSB Relative MSE",0.723311423280842,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"47","Cod","Avg terminal SSB Relative MSE",0.0169882743433891,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"48","Cod","EM: P(Fy > Flimit)",0.9621875,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"49","Cod","EM: P(SSB < SSBlimit)",0.008875,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"50","Cod","OM: P(Fy > Flimit)",0.948625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"51","Cod","OM: P(SSB < SSBlimit)",0.9003125,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.013625,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",6.25e-05,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.8914375,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"56","Cod","OM: Terminal B",275341.442775429,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"57","Cod","OM: Terminal SSB",48713.3414417086,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"58","Cod","OM: Terminal SSB Depletion",48.7621035452538,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.166381044637155,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
"60","Cod","OM: Average SSB Depletion",0.173622790984288,"ms_mod_ssp245_OM","ms_run_cmsy_EM","FALSE",200
