"","Species","Performance metric","ms_mod_ssp585_OM__ss_run_M_Tier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",57586.0200689631,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"2","Pollock","Catch IAV",0.512343429923474,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"3","Pollock","P(Closed)",0.4605625,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"4","Pollock","Avg SSB Relative MSE",0.77596203816865,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.234345648659009,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"6","Pollock","EM: P(Fy > Flimit)",0.0048125,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.3993125,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.009625,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.3993125,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"14","Pollock","OM: Terminal B",1246585.50311914,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"15","Pollock","OM: Terminal SSB",224400.530001486,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"16","Pollock","OM: Terminal Dynamic SB0",192529.001665804,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"17","Pollock","OM: Terminal SSB Depletion",224.625155156643,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"18","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.19209035223082,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"19","Pollock","OM: Average SSB Depletion",1.11948940879161,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"20","Pollock","OM no F: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"21","Pollock","OM: SSB Collapse",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"22","Pollock","OM: SSB Collapse from F",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"23","Pollock","OM: SSB Collapse FAIL",NA,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"24","Arrowtooth flounder","Average Catch",31771.5457850888,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"25","Arrowtooth flounder","Catch IAV",0.110855512727985,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"26","Arrowtooth flounder","P(Closed)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"27","Arrowtooth flounder","Avg SSB Relative MSE",0.500658366610464,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"28","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0190370351507152,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"29","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.081875,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"31","Arrowtooth flounder","OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"32","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"33","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"34","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"35","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.081875,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"36","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"37","Arrowtooth flounder","OM: Terminal B",573174.751285339,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
"38","Arrowtooth flounder","OM: Terminal SSB",59468.2349089177,"ms_mod_ssp585_OM","ss_run_M_Tier3_EM","TRUE",200
