"","Species","Performance metric","ms_mod_ricker_ssp245_OM__ss_run_M_Tier3_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"1","Pollock","Average Catch",73399.9733163447,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"2","Pollock","Catch IAV",0.502870833107979,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"3","Pollock","P(Closed)",0.3615,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"4","Pollock","Avg SSB Relative MSE",0.73671033567059,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"5","Pollock","Avg terminal SSB Relative MSE",0.125615486622879,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"6","Pollock","EM: P(Fy > Flimit)",0.00425,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"7","Pollock","EM: P(SSB < SSBlimit)",0.2901875,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"8","Pollock","OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"9","Pollock","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0085,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.2901875,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"14","Pollock","OM: Terminal B",257023.571250765,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"15","Pollock","OM: Terminal SSB",61485.2168728217,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"16","Pollock","OM: Terminal SSB Depletion",61.5467636364581,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",39.1766251401832,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"18","Pollock","OM: Average SSB Depletion",8.18173923933496,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"19","Arrowtooth flounder","Average Catch",65091.7895126859,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"20","Arrowtooth flounder","Catch IAV",0.368052016139006,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"21","Arrowtooth flounder","P(Closed)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.574710073221147,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0264744317826135,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0.0075,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0.13575,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.2715,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0075,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"32","Arrowtooth flounder","OM: Terminal B",551150.905144265,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"33","Arrowtooth flounder","OM: Terminal SSB",100681.324945839,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",100.782107052892,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.353840689993566,"ms_mod_ricker_ssp245_OM","ss_run_M_Tier3_EM","FALSE",200
