"","Species","Performance metric","ms_mod_OM__ms_run_fb40iter_EM_FALSEregen_FALSEcap","OM","EM","Cap","nsim"
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"60","Cod","OM: Terminal B",591571.535489523,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"61","Cod","OM: Terminal SSB",250739.187533404,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"62","Cod","OM: Terminal Dynamic SB0",417414.366999569,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"63","Cod","OM: Terminal SSB Depletion",250.990177711116,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.597532107329543,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"65","Cod","OM: Average SSB Depletion",0.601801028434261,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"67","Cod","OM: SSB Collapse",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_OM","ms_run_fb40iter_EM","FALSE",160
