"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","  147,134","  172,527","  148,073","  173,793","  156,920","  185,940"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","  149,397","  174,713","  150,279","  175,555","  159,130","  187,570"
"3",NA,NA,"HCR 2a (PFMC)","  140,617","  160,410","  141,730","  161,637","  148,000","  172,086"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","  140,936","  160,550","  141,952","  161,777","  148,078","  172,054"
"5",NA,NA,"HCR 3a (SESSF)","  131,152","  145,953","  132,563","  147,179","  135,639","  156,124"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","  131,533","  146,127","  132,790","  147,633","  135,771","  156,216"
"7",NA,NA,"HCR 4 (NEFMC)","  117,866","  125,737","  119,385","  126,580","  119,316","  134,045"
"8",NA,NA,"HCR 5 (Avg F)","  172,095","  211,538","  171,535","  212,408","  178,785","  227,581"
"9",NA,"Est M","HCR 1a (NPFMC)","  147,414","  172,903","  144,995","  195,627","  157,360","  196,377"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","  149,726","  175,021","  147,107","  197,116","  159,448","  198,350"
"11",NA,NA,"HCR 2a (PFMC)","  140,984","  160,915","  138,329","  184,719","  148,263","  182,906"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","  141,102","  160,838","  138,416","  184,867","  148,325","  182,649"
"13",NA,NA,"HCR 3a (SESSF)","  131,344","  146,210","  129,472","  167,157","  136,372","  164,707"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","  131,851","  146,407","  129,587","  168,008","  136,327","  165,192"
"15",NA,NA,"HCR 4 (NEFMC)","  118,097","  126,026","  115,528","  149,671","  119,509","  143,311"
"16",NA,NA,"HCR 5 (Avg F)","  170,661","  209,354","  171,413","  204,517","  178,326","  221,760"
"17","GOA","Fix M","HCR 1a (NPFMC)","   27,151","   57,916","   19,915","   43,532","   28,592","   62,001"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","   27,831","   57,467","   20,207","   42,597","   29,128","   61,301"
"19",NA,NA,"HCR 2a (PFMC)","   26,051","   54,581","   19,624","   42,239","   27,700","   59,217"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","   26,252","   54,352","   19,754","   41,762","   27,878","   58,886"
"21",NA,NA,"HCR 3a (SESSF)","   22,647","   48,072","   18,344","   40,294","   23,985","   50,934"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","   23,340","   47,991","   18,750","   39,270","   24,537","   50,565"
"23",NA,NA,"HCR 4 (NEFMC)","   23,003","   47,048","   18,593","   38,725","   23,876","   48,552"
"24",NA,NA,"HCR 5 (Avg F)","   23,264","   47,680","   18,880","   39,515","   23,002","   46,969"
"25",NA,"Est M","HCR 1a (NPFMC)","   22,835","   51,287","   14,497","   27,818","   22,598","   50,057"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","   23,147","   50,375","   14,768","   27,434","   22,581","   48,747"
"27",NA,NA,"HCR 2a (PFMC)","   21,410","   46,881","   13,312","   23,557","   21,172","   45,796"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","   21,473","   46,562","   13,487","   23,549","   21,159","   45,291"
"29",NA,NA,"HCR 3a (SESSF)","   20,081","   43,925","   12,436","   21,302","   19,531","   41,218"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","   19,252","   40,805","   12,580","   21,360","   18,855","   38,527"
"31",NA,NA,"HCR 4 (NEFMC)","   17,795","   37,217","   10,800","   17,167","   16,748","   32,902"
"32",NA,NA,"HCR 5 (Avg F)","   22,929","   47,627","   18,543","   38,813","   22,571","   46,654"
