"","Cap","EM","1. No climate","2. w/ SRR","3. 1-2.6","4. w/ SRR","5. 2-4.5","6. w/ SRR","7. 5-8.5","8. w/ SRR"
"1","FALSE","NPFMC Fix-M","0.29","0.29","0.57","0.53","0.67","0.67","0.65","0.64"
"2",NA,"NPFMC Fix-M (Dynamic B0)","0.29","0.29","0.49","0.46","0.5","0.59","0.53","0.57"
"3",NA,"NPFMC Est-M","0.25","0.26","0.48","0.44","0.55","0.5","0.51","0.49"
"4",NA,"NPFMC Est-M (Dynamic B0)","0.24","0.26","0.4","0.39","0.39","0.38","0.4","0.4"
"5",NA,"MS-B40 iter","0.29","0.29","0.47","0.45","0.57","0.63","0.58","0.59"
"6",NA,"MS-B40 simul","0.4","0.84","0.65","1.01","0.77","1.24","0.78","1.15"
"7",NA,"MS-MSY","0.64","3.02","1.06","2.77","1.37","3.03","1.42","2.76"
"8",NA,"MS-cMSY","0.54","2.3","0.89","2.11","1.08","2.31","1.1","2.24"
"9","TRUE","NPFMC Fix-M","0.12","0.2","0.36","0.52","0.51","0.57","0.46","0.55"
"10",NA,"NPFMC Fix-M (Dynamic B0)","0.11","0.21","0.26","0.4","0.33","0.46","0.33","0.43"
"11",NA,"NPFMC Est-M","0.16","0.17","0.41","0.51","0.57","0.57","0.51","0.54"
"12",NA,"NPFMC Est-M (Dynamic B0)","0.15","0.17","0.31","0.33","0.35","0.41","0.36","0.39"
"13",NA,"MS-B40 iter","0.12","0.24","0.28","0.44","0.33","0.47","0.33","0.44"
"14",NA,"MS-B40 simul","0.08","0.28","0.23","0.46","0.31","0.43","0.3","0.41"
"15",NA,"MS-MSY","0.08","0.29","0.2","0.46","0.34","0.44","0.33","0.42"
"16",NA,"MS-cMSY","0.08","0.29","0.21","0.46","0.32","0.43","0.3","0.41"
