"","Cap","EM","1. No climate","2. w/ SRR","3. 1-2.6","4. w/ SRR","5. 2-4.5","6. w/ SRR","7. 5-8.5","8. w/ SRR"
"1","FALSE","NPFMC Fix-M","0.14","0.15","0.17","0.17","0.21","0.21","0.25","0.24"
"2",NA,"NPFMC Fix-M (Dynamic B0)","0.14","0.15","0.17","0.17","0.2","0.2","0.23","0.23"
"3",NA,"NPFMC Est-M","0.22","0.27","0.28","0.3","0.34","0.37","0.39","0.42"
"4",NA,"NPFMC Est-M (Dynamic B0)","0.21","0.27","0.27","0.29","0.32","0.36","0.36","0.4"
"5",NA,"MS-B40 iter","0.26","0.37","0.33","0.41","0.38","0.5","0.44","0.55"
"6",NA,"MS-B40 simul","0.26","0.37","0.33","0.41","0.39","0.5","0.44","0.55"
"7",NA,"MS-MSY","0.33","0.49","0.94","0.5","1.15","0.62","1.42","0.68"
"8",NA,"MS-cMSY","0.4","0.5","0.5","0.5","0.59","0.62","0.68","0.68"
"9","TRUE","NPFMC Fix-M","0.08","0.08","0.08","0.08","0.09","0.08","0.11","0.1"
"10",NA,"NPFMC Fix-M (Dynamic B0)","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.1"
"11",NA,"NPFMC Est-M","0.08","0.08","0.08","0.08","0.09","0.08","0.11","0.1"
"12",NA,"NPFMC Est-M (Dynamic B0)","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.1"
"13",NA,"MS-B40 iter","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.1"
"14",NA,"MS-B40 simul","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.1"
"15",NA,"MS-MSY","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.1"
"16",NA,"MS-cMSY","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.1"
