"","Species","Performance metric","SSM_OM__SS_estM_Cat1_EM_AllDown"
"1","Pollock","Average Catch",2617162.06492036
"2","Pollock","Catch IAV",109811.443825986
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.000569070494030902
"5","Pollock","EM: P(Fy > Flimit)",0.00186046511627907
"6","Pollock","EM: P(SSB < SSBlimit)",0.0885271317829457
"7","Pollock","OM: P(Fy > Flimit)",0.00596899224806202
"8","Pollock","OM: P(SSB < SSBlimit)",0.161550387596899
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00147286821705426
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00558139534883721
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000465116279069767
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0734883720930233
"13","Pollock","OM: Terminal SSB Depletion",0.402358305022716
"14","Cod","Average Catch",96589.2520624586
"15","Cod","Catch IAV",1086.88979112407
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000415865557919158
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0.00232558139534884
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0.018062015503876
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000310077519379845
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.016046511627907
"26","Cod","OM: Terminal SSB Depletion",0.468577770144431
"27","Arrowtooth flounder","Average Catch",43208.2368677726
"28","Arrowtooth flounder","Catch IAV",1427.66865520939
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000592973655620802
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0.00348837209302326
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.00108527131782946
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00348837209302326
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00108527131782946
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.296085780310407
