"","Species","Performance metric","MS_OM__SS_fixM_dynamicCat1_EM"
"1","Pollock","Average Catch",2548156.17656571
"2","Pollock","Catch IAV",0.153455263968774
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB Relative MSE",0.600523380014718
"5","Pollock","Avg terminal SSB Relative MSE",0.00508974221409101
"6","Pollock","EM: P(Fy > Flimit)",0.0223255813953488
"7","Pollock","EM: P(SSB < SSBlimit)",0.00062015503875969
"8","Pollock","OM: P(Fy > Flimit)",0
"9","Pollock","OM: P(SSB < SSBlimit)",0
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0223255813953488
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00062015503875969
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"14","Pollock","OM: Terminal B",22646306.619139
"15","Pollock","OM: Terminal SSB",5401289.80830097
"16","Pollock","OM: Terminal SSB Depletion",1.14146846590371
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.0217657653335
"18","Pollock","OM: Average SSB Depletion",1.1180486635745
"19","Cod","Average Catch",148554.198173204
"20","Cod","Catch IAV",0.109408674608115
"21","Cod","P(Closed)",0
"22","Cod","Avg SSB Relative MSE",0.611209915563956
"23","Cod","Avg terminal SSB Relative MSE",0.000392242310808494
"24","Cod","EM: P(Fy > Flimit)",0.0227131782945736
"25","Cod","EM: P(SSB < SSBlimit)",0
"26","Cod","OM: P(Fy > Flimit)",0
"27","Cod","OM: P(SSB < SSBlimit)",0
"28","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0227131782945736
"29","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"31","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"32","Cod","OM: Terminal B",1265874.49044715
"33","Cod","OM: Terminal SSB",278361.827349698
"34","Cod","OM: Terminal SSB Depletion",0.687144721279556
"35","Cod","OM: Terminal SSB Depletion (Dynamic)",0.649652762347772
"36","Cod","OM: Average SSB Depletion",0.657436941979298
"37","Arrowtooth flounder","Average Catch",40985.6645243612
"38","Arrowtooth flounder","Catch IAV",0.088804415923602
"39","Arrowtooth flounder","P(Closed)",0
"40","Arrowtooth flounder","Avg SSB Relative MSE",0.269530484224549
"41","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00744462225570876
"42","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"44","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"46","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"47","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: Terminal B",444930.889171103
"51","Arrowtooth flounder","OM: Terminal SSB",194917.158693136
"52","Arrowtooth flounder","OM: Terminal SSB Depletion",0.550767548498455
"53","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.545063224340632
"54","Arrowtooth flounder","OM: Average SSB Depletion",0.562910958818695
