"","Species","Performance metric","MS_OM__SS_estM_AvgF_EM"
"1","Pollock","Average Catch",1530139.42499144
"2","Pollock","Catch IAV",0.103449956035122
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB Relative MSE",0.420073359287361
"5","Pollock","Avg terminal SSB Relative MSE",0.0630648672851235
"6","Pollock","EM: P(Fy > Flimit)",0
"7","Pollock","EM: P(SSB < SSBlimit)",0
"8","Pollock","OM: P(Fy > Flimit)",0
"9","Pollock","OM: P(SSB < SSBlimit)",0
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"14","Pollock","OM: Terminal B",26608569.8549839
"15","Pollock","OM: Terminal SSB",7413082.64210622
"16","Pollock","OM: Terminal SSB Depletion",1.56662581928078
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",1.40670996711299
"18","Pollock","OM: Average SSB Depletion",1.48396840323248
"19","Cod","Average Catch",178252.986813546
"20","Cod","Catch IAV",0.161075055978651
"21","Cod","P(Closed)",0
"22","Cod","Avg SSB Relative MSE",0.675889194949101
"23","Cod","Avg terminal SSB Relative MSE",0.000557223240152036
"24","Cod","EM: P(Fy > Flimit)",0
"25","Cod","EM: P(SSB < SSBlimit)",0.0401550387596899
"26","Cod","OM: P(Fy > Flimit)",0
"27","Cod","OM: P(SSB < SSBlimit)",0.0276744186046512
"28","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"29","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0124806201550388
"31","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"32","Cod","OM: Terminal B",1019049.41766817
"33","Cod","OM: Terminal SSB",178352.714386886
"34","Cod","OM: Terminal SSB Depletion",0.440269153941383
"35","Cod","OM: Terminal SSB Depletion (Dynamic)",0.416756876822991
"36","Cod","OM: Average SSB Depletion",0.428098237631808
"37","Arrowtooth flounder","Average Catch",12185.9893333271
"38","Arrowtooth flounder","Catch IAV",0.0439335834973975
"39","Arrowtooth flounder","P(Closed)",0
"40","Arrowtooth flounder","Avg SSB Relative MSE",0.220265902487805
"41","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000187655146890328
"42","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"44","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"46","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"47","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: Terminal B",599974.637039544
"51","Arrowtooth flounder","OM: Terminal SSB",322916.351788131
"52","Arrowtooth flounder","OM: Terminal SSB Depletion",0.912448389032858
"53","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.904363487572403
"54","Arrowtooth flounder","OM: Average SSB Depletion",0.889370690386319
