"","Species","Performance metric","SSM_OM__SS_fixM_dynamicCat1_EM"
"1","Pollock","Average Catch",2284961.78377243
"2","Pollock","Catch IAV",0.131755415415506
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB Relative MSE",0.660564785630262
"5","Pollock","Avg terminal SSB Relative MSE",0.0697108856022047
"6","Pollock","EM: P(Fy > Flimit)",0.0223255813953488
"7","Pollock","EM: P(SSB < SSBlimit)",0
"8","Pollock","OM: P(Fy > Flimit)",0
"9","Pollock","OM: P(SSB < SSBlimit)",0
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0223255813953488
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"14","Pollock","OM: Terminal B",24471221.9340583
"15","Pollock","OM: Terminal SSB",6162285.75656391
"16","Pollock","OM: Terminal SSB Depletion",0.60065562533388
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.592331255111264
"18","Pollock","OM: Average SSB Depletion",0.606294846509243
"19","Cod","Average Catch",141952.003708332
"20","Cod","Catch IAV",0.102524334988614
"21","Cod","P(Closed)",0
"22","Cod","Avg SSB Relative MSE",0.60963145799887
"23","Cod","Avg terminal SSB Relative MSE",0.000317120141218592
"24","Cod","EM: P(Fy > Flimit)",0.0221705426356589
"25","Cod","EM: P(SSB < SSBlimit)",0
"26","Cod","OM: P(Fy > Flimit)",0
"27","Cod","OM: P(SSB < SSBlimit)",0
"28","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0221705426356589
"29","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"31","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"32","Cod","OM: Terminal B",1209022.42530528
"33","Cod","OM: Terminal SSB",267377.343062508
"34","Cod","OM: Terminal SSB Depletion",0.427502821387308
"35","Cod","OM: Terminal SSB Depletion (Dynamic)",0.425262642794711
"36","Cod","OM: Average SSB Depletion",0.410101986615352
"37","Arrowtooth flounder","Average Catch",39768.8007946408
"38","Arrowtooth flounder","Catch IAV",0.0898955697348221
"39","Arrowtooth flounder","P(Closed)",0
"40","Arrowtooth flounder","Avg SSB Relative MSE",0.263721901424543
"41","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00657544291154913
"42","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"43","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"44","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"45","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"46","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"47","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"50","Arrowtooth flounder","OM: Terminal B",422783.328557805
"51","Arrowtooth flounder","OM: Terminal SSB",187741.5914596
"52","Arrowtooth flounder","OM: Terminal SSB Depletion",0.507454658460724
"53","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.505031225910498
"54","Arrowtooth flounder","OM: Average SSB Depletion",0.531796974769347
