"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","   32,708","   43,344","   26,754","   43,355","   26,756"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","   32,797","   43,336","   27,447","   43,343","   27,445"
"3",NA,NA,"HCR 2a (PFMC)","   35,017","   46,268","   29,358","   46,257","   29,362"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","   35,019","   46,269","   29,371","   46,260","   29,376"
"5",NA,NA,"HCR 3a (SESSF)","   28,925","   37,995","   24,126","   37,989","   24,128"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","   28,931","   38,010","   24,368","   38,005","   24,370"
"7",NA,NA,"HCR 4 (NEFMC)","   31,016","   43,376","   27,661","   43,375","   27,667"
"8",NA,NA,"HCR 5 (Avg F)","   32,078","   14,690","    9,683","   39,954","   25,518"
"9",NA,"Est M","HCR 1a (NPFMC)","   33,554","   44,595","   27,414","   44,613","   27,423"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","   33,675","   44,569","   28,169","   44,572","   28,161"
"11",NA,NA,"HCR 2a (PFMC)","   36,000","   47,648","   30,157","   47,642","   30,152"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","   36,006","   47,615","   30,175","   47,642","   30,199"
"13",NA,NA,"HCR 3a (SESSF)","   29,882","   39,334","   24,846","   39,327","   24,855"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","   29,875","   39,329","   25,148","   39,316","   25,130"
"15",NA,NA,"HCR 4 (NEFMC)","   30,381","   44,725","   28,428","   44,714","   28,435"
"16",NA,NA,"HCR 5 (Avg F)","   31,805","   36,413","   23,310","   36,412","   23,317"
"17","SS est M","Fix M","HCR 1a (NPFMC)","   37,997","   51,312","   30,720","   51,321","   30,717"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","   37,834","   51,194","   31,042","   51,201","   31,051"
"19",NA,NA,"HCR 2a (PFMC)","   41,712","   56,331","   34,368","   56,328","   34,366"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","   41,715","   56,341","   34,373","   56,352","   34,373"
"21",NA,NA,"HCR 3a (SESSF)","   32,557","   43,726","   26,814","   43,707","   26,810"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","   32,558","   43,729","   26,947","   43,720","   26,959"
"23",NA,NA,"HCR 4 (NEFMC)","   34,477","   51,317","   31,464","   51,336","   31,462"
"24",NA,NA,"HCR 5 (Avg F)","   36,156","   15,541","    9,858","   43,329","   26,676"
"25",NA,"Est M","HCR 1a (NPFMC)","   47,341","   64,623","   37,954","   64,651","   37,965"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","   47,539","   64,495","   38,999","   64,496","   38,995"
"27",NA,NA,"HCR 2a (PFMC)","   52,773","   71,689","   43,208","   71,707","   43,230"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","   52,783","   71,671","   43,309","   71,690","   43,320"
"29",NA,NA,"HCR 3a (SESSF)","   42,080","   56,861","   34,137","   56,870","   34,128"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","   42,161","   56,865","   34,773","   56,887","   34,766"
"31",NA,NA,"HCR 4 (NEFMC)","   36,727","   64,958","   39,477","   64,916","   39,479"
"32",NA,NA,"HCR 5 (Avg F)","   42,028","   40,689","   25,040","   40,670","   25,024"
"33","MS","Fix M","HCR 1a (NPFMC)","   35,236","   43,307","   29,815","   46,253","   28,986"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","   35,220","   43,157","   30,264","   46,190","   29,501"
"35",NA,NA,"HCR 2a (PFMC)","   36,914","   44,863","   31,875","   48,374","   31,013"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","   36,913","   44,871","   31,890","   48,345","   31,023"
"37",NA,NA,"HCR 3a (SESSF)","   30,406","   36,880","   26,287","   39,621","   25,518"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","   30,413","   36,880","   26,369","   39,637","   25,678"
"39",NA,NA,"HCR 4 (NEFMC)","   32,795","   43,374","   30,519","   46,351","   29,779"
"40",NA,NA,"HCR 5 (Avg F)","   33,756","   14,130","   10,388","   15,157","   10,123"
"41",NA,"Est M","HCR 1a (NPFMC)","   37,013","   46,023","   31,149","   48,741","   30,398"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","   36,968","   45,884","   31,610","   48,654","   30,904"
"43",NA,NA,"HCR 2a (PFMC)","   38,922","   47,982","   33,399","   51,204","   32,625"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","   38,900","   47,969","   33,408","   51,158","   32,621"
"45",NA,NA,"HCR 3a (SESSF)","   32,160","   39,550","   27,637","   42,090","   26,952"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","   32,162","   39,532","   27,746","   42,067","   27,104"
"47",NA,NA,"HCR 4 (NEFMC)","   30,143","   46,161","   31,917","   48,922","   31,241"
"48",NA,NA,"HCR 5 (Avg F)","   33,976","   14,122","   10,324","   15,163","   10,061"
