"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","   78,018","   77,665","   83,975","   78,031","   77,904"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","   66,955","   82,272","   64,483","   67,103","   66,737"
"3",NA,NA,"HCR 2a (PFMC)","   29,866","   38,601","   29,185","   29,832","   30,027"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","   28,464","   38,577","   25,691","   28,393","   28,402"
"5",NA,NA,"HCR 3a (SESSF)","   43,623","   42,383","   61,107","   43,471","   43,574"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","   29,911","   40,299","   27,507","   30,010","   30,041"
"7",NA,NA,"HCR 4 (NEFMC)","   25,282","   69,073","   53,540","   55,879","   55,717"
"8",NA,NA,"HCR 5 (Avg F)","   40,871","   16,675","    9,101","   11,066","   11,120"
"9",NA,"Est M","HCR 1a (NPFMC)","  288,607","  237,786","  345,417","  288,490","  288,430"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","  160,388","  164,909","  174,212","  160,929","  160,652"
"11",NA,NA,"HCR 2a (PFMC)","   63,806","   72,021","   66,895","   63,846","   63,763"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","   59,914","   70,894","   59,533","   59,641","   59,992"
"13",NA,NA,"HCR 3a (SESSF)","  102,656","   86,655","  137,222","  103,297","  103,264"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","   66,983","   76,887","   68,541","   66,978","   66,843"
"15",NA,NA,"HCR 4 (NEFMC)","   56,419","  146,868","  162,142","  147,532","  147,469"
"16",NA,NA,"HCR 5 (Avg F)","  101,770","   15,851","    8,622","   10,367","   10,430"
"17","SS est M","Fix M","HCR 1a (NPFMC)","   64,363","   71,542","   68,068","   64,101","   64,304"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","   59,549","   79,700","   53,491","   59,639","   59,479"
"19",NA,NA,"HCR 2a (PFMC)","   27,216","   38,026","   25,245","   27,298","   27,159"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","   26,146","   37,826","   22,449","   26,415","   26,266"
"21",NA,NA,"HCR 3a (SESSF)","   35,663","   40,062","   51,365","   35,901","   35,935"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","   27,567","   38,950","   24,152","   27,651","   27,557"
"23",NA,NA,"HCR 4 (NEFMC)","   23,679","   66,746","   43,445","   49,003","   48,848"
"24",NA,NA,"HCR 5 (Avg F)","   36,259","   16,992","    9,119","   11,252","   11,228"
"25",NA,"Est M","HCR 1a (NPFMC)","  390,806","  378,169","  443,577","  392,149","  391,450"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","  246,091","  318,768","  229,677","  245,991","  246,740"
"27",NA,NA,"HCR 2a (PFMC)","  115,697","  150,996","  109,811","  115,529","  115,490"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","  109,063","  149,145","   96,910","  109,897","  108,824"
"29",NA,NA,"HCR 3a (SESSF)","  172,830","  164,841","  218,697","  173,480","  171,424"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","  117,908","  155,791","  107,601","  117,688","  118,328"
"31",NA,NA,"HCR 4 (NEFMC)","   80,457","  268,334","  209,638","  217,563","  217,689"
"32",NA,NA,"HCR 5 (Avg F)","  148,776","   17,718","    9,193","   11,398","   11,330"
"33","MS","Fix M","HCR 1a (NPFMC)","  117,159","  147,857","  113,964","  123,324","  113,651"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","  118,183","  162,605","  105,789","  121,471","  116,381"
"35",NA,NA,"HCR 2a (PFMC)","   55,293","   80,302","   48,176","   56,830","   54,332"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","   54,468","   81,022","   46,638","   56,923","   53,930"
"37",NA,NA,"HCR 3a (SESSF)","   64,065","   87,173","   66,079","   70,673","   61,607"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","   60,233","   90,996","   51,294","   62,859","   58,593"
"39",NA,NA,"HCR 4 (NEFMC)","   48,760","  133,914","   87,152","  100,689","   96,471"
"40",NA,NA,"HCR 5 (Avg F)","   73,077","   35,684","   18,262","   23,459","   22,684"
"41",NA,"Est M","HCR 1a (NPFMC)","  481,250","  478,117","  524,740","  502,682","  470,656"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","  325,467","  481,886","  477,315","  473,357","  447,410"
"43",NA,NA,"HCR 2a (PFMC)","  136,519","  191,254","  155,808","  163,204","  155,054"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","  132,673","  190,465","  148,524","  158,647","  152,146"
"45",NA,NA,"HCR 3a (SESSF)","  184,706","  253,604","  265,359","  256,479","  229,616"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","  154,460","  242,838","  204,207","  214,632","  200,355"
"47",NA,NA,"HCR 4 (NEFMC)","  106,521","  369,118","  352,218","  351,294","  334,825"
"48",NA,NA,"HCR 5 (Avg F)","  194,235","   36,174","   18,055","   23,340","   22,426"
