"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","2,091,828","2,976,620","1,623,757","2,091,930","2,091,439"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","2,109,822","2,965,906","1,679,994","2,109,947","2,110,537"
"3",NA,NA,"HCR 2a (PFMC)","1,841,465","2,573,109","1,461,767","1,840,975","1,841,227"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","1,846,504","2,573,875","1,479,802","1,846,127","1,846,335"
"5",NA,NA,"HCR 3a (SESSF)","1,845,966","2,592,821","1,432,260","1,845,803","1,845,641"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","1,861,241","2,595,711","1,491,118","1,862,632","1,861,463"
"7",NA,NA,"HCR 4 (NEFMC)","2,136,327","2,993,730","1,705,792","2,136,165","2,136,349"
"8",NA,NA,"HCR 5 (Avg F)","1,337,403","1,850,546","1,079,009","1,337,234","1,336,824"
"9",NA,"Est M","HCR 1a (NPFMC)","2,350,264","3,349,630","1,829,096","2,349,750","2,350,216"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","2,367,876","3,336,958","1,884,892","2,370,096","2,369,638"
"11",NA,NA,"HCR 2a (PFMC)","2,151,203","3,028,617","1,700,782","2,151,229","2,150,906"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","2,156,777","3,033,943","1,721,384","2,156,979","2,156,306"
"13",NA,NA,"HCR 3a (SESSF)","2,158,559","3,052,674","1,675,168","2,157,543","2,156,207"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","2,178,022","3,055,048","1,739,782","2,178,863","2,177,172"
"15",NA,NA,"HCR 4 (NEFMC)","2,391,967","3,362,911","1,907,874","2,391,947","2,392,474"
"16",NA,NA,"HCR 5 (Avg F)","1,307,298","1,811,715","1,052,436","1,304,851","1,305,348"
"17","SS est M","Fix M","HCR 1a (NPFMC)","2,457,287","3,506,262","1,894,571","2,456,585","2,456,997"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","2,467,948","3,479,228","1,956,677","2,467,709","2,467,869"
"19",NA,NA,"HCR 2a (PFMC)","2,007,391","2,809,466","1,591,295","2,008,636","2,008,992"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","2,013,543","2,811,093","1,610,882","2,012,307","2,014,284"
"21",NA,NA,"HCR 3a (SESSF)","2,024,829","2,845,872","1,567,842","2,023,705","2,025,350"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","2,039,127","2,846,565","1,632,448","2,039,813","2,038,649"
"23",NA,NA,"HCR 4 (NEFMC)","2,507,839","3,520,083","1,996,129","2,507,413","2,506,789"
"24",NA,NA,"HCR 5 (Avg F)","1,357,577","1,878,477","1,095,779","1,357,914","1,358,777"
"25",NA,"Est M","HCR 1a (NPFMC)","3,841,065","5,542,027","2,954,712","3,840,703","3,844,812"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","3,875,962","5,511,185","3,056,573","3,876,691","3,878,335"
"27",NA,NA,"HCR 2a (PFMC)","3,360,723","4,792,140","2,623,482","3,356,399","3,356,433"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","3,374,032","4,789,803","2,661,344","3,370,151","3,371,529"
"29",NA,NA,"HCR 3a (SESSF)","3,356,715","4,803,389","2,573,167","3,356,879","3,356,539"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","3,400,719","4,809,555","2,693,843","3,401,915","3,396,806"
"31",NA,NA,"HCR 4 (NEFMC)","3,927,088","5,580,334","3,104,449","3,928,750","3,930,050"
"32",NA,NA,"HCR 5 (Avg F)","1,355,169","1,876,590","1,087,544","1,353,068","1,353,098"
"33","MS","Fix M","HCR 1a (NPFMC)","2,920,761","3,627,794","2,437,015","2,793,160","2,982,140"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","2,907,407","3,586,564","2,462,184","2,786,310","2,970,337"
"35",NA,NA,"HCR 2a (PFMC)","2,407,373","2,896,112","2,052,327","2,311,319","2,454,792"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","2,406,803","2,894,192","2,060,281","2,313,308","2,455,561"
"37",NA,NA,"HCR 3a (SESSF)","2,387,070","2,875,172","2,020,285","2,268,145","2,445,729"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","2,389,859","2,871,527","2,046,089","2,278,495","2,447,587"
"39",NA,NA,"HCR 4 (NEFMC)","2,960,186","3,649,905","2,515,242","2,841,160","3,022,178"
"40",NA,NA,"HCR 5 (Avg F)","1,692,680","2,042,480","1,446,592","1,587,229","1,748,465"
"41",NA,"Est M","HCR 1a (NPFMC)","3,601,519","4,523,617","3,009,277","3,457,920","3,677,037"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","3,596,567","4,483,422","3,041,602","3,460,194","3,667,759"
"43",NA,NA,"HCR 2a (PFMC)","3,130,471","3,835,812","2,650,914","3,010,313","3,187,538"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","3,129,229","3,833,528","2,658,509","3,013,118","3,187,029"
"45",NA,NA,"HCR 3a (SESSF)","3,090,952","3,789,623","2,602,305","2,947,890","3,165,200"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","3,093,769","3,783,142","2,636,606","2,956,209","3,161,603"
"47",NA,NA,"HCR 4 (NEFMC)","3,642,266","4,530,244","3,091,088","3,504,315","3,707,961"
"48",NA,NA,"HCR 5 (Avg F)","1,671,800","2,037,800","1,420,503","1,571,720","1,725,694"
