"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","   33,497","   47,487","   38,422","   57,213","   40,019","   59,552"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","   33,707","   47,464","   38,293","   56,875","   39,867","   59,184"
"3",NA,NA,"HCR 2a (PFMC)","   34,428","   48,241","   39,757","   58,884","   41,251","   61,275"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","   34,423","   48,246","   39,769","   58,902","   41,258","   61,274"
"5",NA,NA,"HCR 3a (SESSF)","   29,671","   42,222","   32,996","   49,067","   33,973","   50,381"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","   29,676","   42,209","   32,998","   49,056","   33,986","   50,375"
"7",NA,NA,"HCR 4 (NEFMC)","   25,279","   35,693","   27,396","   40,437","   28,043","   41,261"
"8",NA,NA,"HCR 5 (Avg F)","   11,592","   15,372","   11,583","   16,515","   11,806","   16,611"
"9",NA,"Est M","HCR 1a (NPFMC)","   34,051","   48,146","   47,189","   67,060","   50,239","   73,762"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","   34,284","   48,112","   47,673","   67,062","   50,662","   73,838"
"11",NA,NA,"HCR 2a (PFMC)","   34,994","   48,822","   49,644","   67,816","   52,746","   75,281"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","   35,004","   48,832","   49,645","   67,812","   52,723","   75,289"
"13",NA,NA,"HCR 3a (SESSF)","   30,324","   43,197","   41,957","   61,791","   44,197","   66,248"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","   30,295","   43,188","   42,011","   61,797","   44,267","   66,305"
"15",NA,NA,"HCR 4 (NEFMC)","   25,879","   36,655","   37,367","   55,534","   39,330","   59,132"
"16",NA,NA,"HCR 5 (Avg F)","   11,568","   15,390","   11,943","   16,947","   12,160","   17,012"
"17","GOA","Fix M","HCR 1a (NPFMC)","   86,367","  122,884","   99,426","  135,837","  101,707","  135,268"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","   86,934","  122,921","   99,582","  135,831","  101,794","  135,289"
"19",NA,NA,"HCR 2a (PFMC)","   89,361","  125,658","  102,965","  139,618","  105,333","  138,400"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","   89,347","  125,673","  102,959","  139,599","  105,366","  138,415"
"21",NA,NA,"HCR 3a (SESSF)","   75,379","  106,862","   84,578","  116,428","   85,639","  116,276"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","   75,386","  106,866","   84,593","  116,420","   85,650","  116,292"
"23",NA,NA,"HCR 4 (NEFMC)","   65,849","   92,362","   72,358","   99,162","   72,764","   99,331"
"24",NA,NA,"HCR 5 (Avg F)","   19,019","   24,379","   20,278","   26,208","   20,509","   27,186"
"25",NA,"Est M","HCR 1a (NPFMC)","   84,947","  120,932","  109,836","  147,861","  110,070","  144,977"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","   85,447","  120,930","  110,593","  147,821","  110,563","  144,943"
"27",NA,NA,"HCR 2a (PFMC)","   87,367","  123,224","  116,652","  151,591","  116,835","  148,973"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","   87,356","  123,215","  116,731","  151,609","  116,796","  149,104"
"29",NA,NA,"HCR 3a (SESSF)","   74,433","  105,509","   95,463","  131,234","   94,098","  128,110"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","   74,442","  105,564","   95,386","  131,305","   94,115","  127,922"
"31",NA,NA,"HCR 4 (NEFMC)","   65,221","   91,510","   85,984","  118,745","   84,065","  115,630"
"32",NA,NA,"HCR 5 (Avg F)","   21,705","   27,976","   21,906","   28,271","   22,313","   29,552"
