"","Species","Performance.metric","ms_mod_OM_ss_run_Tier3_EM","ms_mod_OM_ss_run_dynamicTier3_EM","ms_mod_OM_ss_run_M_Tier3_EM","ms_mod_OM_ss_run_M_dynamicTier3_EM","ms_mod_OM_ms_run_fb40iter_EM","ms_mod_OM_ms_run_fb40_EM","ms_mod_OM_ms_run_cmsy_EM","ms_mod_OM_ms_run_concmsy_EM"
"1","Pollock","Average Catch","  574","  582","  424","  444","  630","  916","2,294","1,386"
"2","Pollock","Catch IAV","0.29","0.29","0.25","0.24","0.3","0.4","0.64","0.54"
"3","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0.04","0.72","0.67"
"4","Pollock","OM: Terminal SSB","  702","  691","  875","  853","  875","  380","  178","  161"
"5","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.69","0.68","0.87","0.84","0.89","0.37","0.18","0.16"
"6","Cod","Average Catch","   31","   31","   19","   19","   22","   22","   44","   35"
"7","Cod","Catch IAV","0.24","0.2","0.19","0.18","0.15","0.15","0.46","0.33"
"8","Cod","OM: P(SSB < SSBlimit)","0.01","0.01","0","0","0","0","0.88","0.12"
"9","Cod","OM: Terminal SSB","  157","  153","  269","  270","  256","  251","   56","  136"
"10","Cod","OM: Terminal SSB Depletion (Dynamic)","0.37","0.36","0.64","0.65","0.6","0.6","0.13","0.32"
"11","Arrowtooth flounder","Average Catch","   98","   99","  111","  111","  122","  123","  196","  168"
"12","Arrowtooth flounder","Catch IAV","0.14","0.14","0.22","0.21","0.26","0.26","0.81","0.4"
"13","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0.95","0.38"
"14","Arrowtooth flounder","OM: Terminal SSB","  368","  366","  330","  327","  288","  298","   10","  166"
"15","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.52","0.52","0.47","0.46","0.41","0.42","0.01","0.24"
