"","Species","Performance metric","SS-Est M-OM_Fix M-No cap"
"1","Pollock","Average Catch",132245.739220814
"2","Pollock","Catch IAV",15733.7395987765
"3","Pollock","% Years closed",0.407435701553349
"4","Pollock","Avg terminal SSB MSE",475818317.749568
"5","Pollock","EM: P(Fy > Flimit)",0.000763941940412529
"6","Pollock","EM: P(SSB < SSBlimit)",0.00291025501109535
"7","Pollock","OM: P(Fy > Flimit)",0.0480646804176216
"8","Pollock","OM: P(SSB < SSBlimit)",0.014514896867838
"9","Pollock","OM: Terminal SSB/SSBtarget",0.41771999237402
"10","Arrowtooth flounder","Average Catch",109703.664143106
"11","Arrowtooth flounder","Catch IAV",1707.03574889959
"12","Arrowtooth flounder","% Years closed",0
"13","Arrowtooth flounder","Avg terminal SSB MSE",1545678390.10787
"14","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"15","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"16","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"17","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"18","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.416843912435889
"19","Cod","Average Catch",14374.4677420561
"20","Cod","Catch IAV",2563.75274828313
"21","Cod","% Years closed",9.95670995670996
"22","Cod","Avg terminal SSB MSE",46012747.2482987
"23","Cod","EM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit)",0.098145318733554
"25","Cod","OM: P(Fy > Flimit)",0.169786096256685
"26","Cod","OM: P(SSB < SSBlimit)",0.0998217468805704
"27","Cod","OM: Terminal SSB/SSBtarget",0.384448765082395
