"","Species","Performance metric","SS-OM_Fix M-No cap"
"1","Pollock","Average Catch",136219.982742506
"2","Pollock","Catch IAV",17768.8826281434
"3","Pollock","% Years closed",0.357142857142857
"4","Pollock","Avg terminal SSB MSE",332961097.84017
"5","Pollock","EM: P(Fy > Flimit)",0.000238095238095238
"6","Pollock","EM: P(SSB < SSBlimit)",0.00256519274376417
"7","Pollock","OM: P(Fy > Flimit)",0.00928571428571429
"8","Pollock","OM: P(SSB < SSBlimit)",0.00952380952380952
"9","Pollock","OM: Terminal SSB/SSBtarget",0.429560435981727
"10","Arrowtooth flounder","Average Catch",85416.2728705446
"11","Arrowtooth flounder","Catch IAV",385.095256444471
"12","Arrowtooth flounder","% Years closed",0
"13","Arrowtooth flounder","Avg terminal SSB MSE",477622114.79601
"14","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"15","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"16","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"17","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"18","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.421642678604633
"19","Cod","Average Catch",30543.0213201637
"20","Cod","Catch IAV",13240.0944466666
"21","Cod","% Years closed",4.64285714285714
"22","Cod","Avg terminal SSB MSE",105032775.511907
"23","Cod","EM: P(Fy > Flimit)",0.00988095238095238
"24","Cod","EM: P(SSB < SSBlimit)",0.0452465986394558
"25","Cod","OM: P(Fy > Flimit)",0.0114880952380952
"26","Cod","OM: P(SSB < SSBlimit)",0.0590476190476191
"27","Cod","OM: Terminal SSB/SSBtarget",0.389095033368639
