"","Species","Performance metric","SSM_OM__SS_fixM_Cat1_EM"
"1","Pollock","Average Catch",113630.621100082
"2","Pollock","Catch IAV",8051.9665259636
"3","Pollock","% Years closed",0
"4","Pollock","Avg terminal SSB MSE",0.0247043845077327
"5","Pollock","EM: P(Fy > Flimit)",0.000119047619047619
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.176845238095238
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",5.95238095238095e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.176785714285714
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.481039509001267
"14","Arrowtooth flounder","Average Catch",74266.6058267106
"15","Arrowtooth flounder","Catch IAV",160.46863070161
"16","Arrowtooth flounder","% Years closed",0
"17","Arrowtooth flounder","Avg terminal SSB MSE",0.1191683708598
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.591231578392404
"27","Cod","Average Catch",19246.2334950179
"28","Cod","Catch IAV",4884.28614706266
"29","Cod","% Years closed",0.333333333333333
"30","Cod","Avg terminal SSB MSE",0.142203662531443
"31","Cod","EM: P(Fy > Flimit)",0.311428571428571
"32","Cod","EM: P(SSB < SSBlimit)",0.0225
"33","Cod","OM: P(Fy > Flimit)",0.800654761904762
"34","Cod","OM: P(SSB < SSBlimit)",0.0523809523809524
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0739285714285714
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.563154761904762
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0298809523809524
"39","Cod","OM: Terminal SSB/SSBtarget",0.230715518027211
