"","Cap","EM","1. No climate","2. w/ SRR","3. 1-2.6","4. w/ SRR","5. 2-4.5","6. w/ SRR","7. 5-8.5","8. w/ SRR"
"1","FALSE","NPFMC Fix-M","   31","   29","   27","   24","   24","   21","   23","   20"
"2",NA,"NPFMC Fix-M (Dynamic B0)","   31","   29","   27","   23","   25","   20","   24","   19"
"3",NA,"NPFMC Est-M","   19","   20","   17","   17","   15","   16","   14","   15"
"4",NA,"NPFMC Est-M (Dynamic B0)","   19","   20","   17","   17","   15","   16","   14","   15"
"5",NA,"MS-B40 iter","   22","   24","   19","   21","   18","   19","   17","   18"
"6",NA,"MS-B40 simul","   22","   23","   19","   20","   17","   19","   17","   18"
"7",NA,"MS-MSY","   37","   23","   39","   17","   35","   15","   34","   15"
"8",NA,"MS-cMSY","   35","   27","   32","   21","   29","   18","   28","   17"
"9","TRUE","NPFMC Fix-M","   30","   27","   26","   22","   24","   20","   23","   19"
"10",NA,"NPFMC Fix-M (Dynamic B0)","   30","   27","   27","   21","   24","   18","   24","   18"
"11",NA,"NPFMC Est-M","   18","   19","   16","   17","   15","   15","   14","   14"
"12",NA,"NPFMC Est-M (Dynamic B0)","   18","   19","   16","   16","   15","   15","   14","   15"
"13",NA,"MS-B40 iter","   21","   22","   18","   19","   17","   17","   16","   17"
"14",NA,"MS-B40 simul","   21","   22","   18","   18","   17","   17","   16","   17"
"15",NA,"MS-MSY","   38","   18","   34","   13","   31","   12","   30","   12"
"16",NA,"MS-cMSY","   34","   21","   30","   16","   27","   14","   26","   14"
