"","Species","Performance metric","SS_OM__SS_estM_Fspr_EM_AllUp"
"1","Pollock","Average Catch",249954.786006489
"2","Pollock","Catch IAV",31339.9645307723
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0255486496587166
"5","Pollock","EM: P(Fy > Flimit)",7.93650793650794e-05
"6","Pollock","EM: P(SSB < SSBlimit)",0.0503968253968254
"7","Pollock","OM: P(Fy > Flimit)",0.000634920634920635
"8","Pollock","OM: P(SSB < SSBlimit)",0.260238095238095
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000634920634920635
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.21015873015873
"13","Pollock","OM: Terminal SSB Depletion",0.299014450592597
"14","Arrowtooth flounder","Average Catch",113548.00270542
"15","Arrowtooth flounder","Catch IAV",1338.1206760514
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00238517537695597
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.426418573610297
"27","Cod","Average Catch",37629.3332796244
"28","Cod","Catch IAV",8246.74327618049
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0184160122188211
"31","Cod","EM: P(Fy > Flimit)",0.096984126984127
"32","Cod","EM: P(SSB < SSBlimit)",0.0526190476190476
"33","Cod","OM: P(Fy > Flimit)",0.0316666666666667
"34","Cod","OM: P(SSB < SSBlimit)",0.0556349206349206
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0703968253968254
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00507936507936508
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000555555555555556
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00357142857142857
"39","Cod","OM: Terminal SSB Depletion",0.473326360158801
