"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_AllUp"
"1","Pollock","Average Catch",195183.226535524
"2","Pollock","Catch IAV",20559.2423610353
"3","Pollock","P(Closed)",0.000714285714285714
"4","Pollock","Avg terminal SSB Relative MSE",0.00771144261233971
"5","Pollock","EM: P(Fy > Flimit)",0.0643650793650794
"6","Pollock","EM: P(SSB < SSBlimit)",0.000158730158730159
"7","Pollock","OM: P(Fy > Flimit)",0.511349206349206
"8","Pollock","OM: P(SSB < SSBlimit)",0.0132539682539683
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00626984126984127
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.453253968253968
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0130952380952381
"13","Pollock","OM: Terminal SSB Depletion",0.400042489680681
"14","Arrowtooth flounder","Average Catch",144560.318982348
"15","Arrowtooth flounder","Catch IAV",1241.1863525438
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0143455764887975
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.000158730158730159
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000158730158730159
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.442541781458206
"27","Cod","Average Catch",20077.2480702044
"28","Cod","Catch IAV",2485.9319095288
"29","Cod","P(Closed)",0.100555555555556
"30","Cod","Avg terminal SSB Relative MSE",0.00436165699647771
"31","Cod","EM: P(Fy > Flimit)",0.102857142857143
"32","Cod","EM: P(SSB < SSBlimit)",0.0692857142857143
"33","Cod","OM: P(Fy > Flimit)",0.107460317460317
"34","Cod","OM: P(SSB < SSBlimit)",0.09
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00134920634920635
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00595238095238095
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00293650793650794
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0236507936507937
"39","Cod","OM: Terminal SSB Depletion",0.416564150334469
