"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",139497.040663646
"2","Pollock","Catch IAV",17843.4716648454
"3","Pollock","P(Closed)",0.00682539682539682
"4","Pollock","Avg terminal SSB Relative MSE",0.0102268695935343
"5","Pollock","EM: P(Fy > Flimit)",0.0880952380952381
"6","Pollock","EM: P(SSB < SSBlimit)",0.00293650793650794
"7","Pollock","OM: P(Fy > Flimit)",0.469126984126984
"8","Pollock","OM: P(SSB < SSBlimit)",0.0206349206349206
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0120634920634921
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.393095238095238
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.018015873015873
"13","Pollock","OM: Terminal SSB Depletion",0.385370943464274
"14","Arrowtooth flounder","Average Catch",108691.787877953
"15","Arrowtooth flounder","Catch IAV",1503.57347863856
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0140096129944536
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.426486646304653
"27","Cod","Average Catch",13757.131258666
"28","Cod","Catch IAV",2270.1338245671
"29","Cod","P(Closed)",0.102380952380952
"30","Cod","Avg terminal SSB Relative MSE",0.00699661754995766
"31","Cod","EM: P(Fy > Flimit)",0.109285714285714
"32","Cod","EM: P(SSB < SSBlimit)",0.0705555555555556
"33","Cod","OM: P(Fy > Flimit)",0.118253968253968
"34","Cod","OM: P(SSB < SSBlimit)",0.0914285714285714
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00674603174603175
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0157142857142857
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00380952380952381
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0246825396825397
"39","Cod","OM: Terminal SSB Depletion",0.405880398457985
