"","Species","Performance metric","MS_OM__SS_estM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch",409771.02695237
"2","Pollock","Catch IAV",56695.4728218951
"3","Pollock","P(Closed)",7.93650793650794e-05
"4","Pollock","Avg terminal SSB Relative MSE",0.070484166392213
"5","Pollock","EM: P(Fy > Flimit)",0.0153968253968254
"6","Pollock","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.026984126984127
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0153968253968254
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.93650793650794e-05
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.026984126984127
"13","Pollock","OM: Terminal SSB Depletion",0.598414074016898
"14","Arrowtooth flounder","Average Catch",92322.2958036156
"15","Arrowtooth flounder","Catch IAV",1516.47891056576
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.015520174824711
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.432818306564761
"27","Cod","Average Catch",18553.2871541151
"28","Cod","Catch IAV",3388.3874494149
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0131159934221624
"31","Cod","EM: P(Fy > Flimit)",0.016031746031746
"32","Cod","EM: P(SSB < SSBlimit)",0
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0136507936507937
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.016031746031746
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0136507936507937
"39","Cod","OM: Terminal SSB Depletion",0.48290517973158
