"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_ATFRdown"
"1","Pollock","Average Catch",153257.024310287
"2","Pollock","Catch IAV",19279.3906060205
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00776516455419172
"5","Pollock","EM: P(Fy > Flimit)",0.0245238095238095
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.654365079365079
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.629920634920635
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",0.367580751503685
"14","Arrowtooth flounder","Average Catch",72695.1412018576
"15","Arrowtooth flounder","Catch IAV",580.525021528169
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00238937079060906
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.426569482824385
"27","Cod","Average Catch",31720.0481543868
"28","Cod","Catch IAV",11280.3809481469
"29","Cod","P(Closed)",0.000476190476190476
"30","Cod","Avg terminal SSB Relative MSE",0.00269675643373927
"31","Cod","EM: P(Fy > Flimit)",0.0579365079365079
"32","Cod","EM: P(SSB < SSBlimit)",0.000317460317460317
"33","Cod","OM: P(Fy > Flimit)",0.125873015873016
"34","Cod","OM: P(SSB < SSBlimit)",0.000555555555555556
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00182539682539683
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0697619047619048
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000238095238095238
"39","Cod","OM: Terminal SSB Depletion",0.408134100954241
