"","Species","Performance.metric","SS_OM__SS_fixM_Cat1_EM_AllUp","SS_OM__SS_fixM_dynamicCat1_EM_AllUp","SSM_OM__SS_fixM_Cat1_EM_AllUp","SSM_OM__SS_fixM_dynamicCat1_EM_AllUp","MS_OM__SS_fixM_Cat1_EM_AllUp","MS_OM__SS_fixM_dynamicCat1_EM_AllUp"
"1","Pollock","Average Catch","165,478","165,909","159,116","159,295","248,766","248,937"
"2","Pollock","Catch IAV"," 13,536"," 13,297"," 12,061"," 11,930"," 15,145"," 15,239"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.01","0.02","0.02","0.04","0.04"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.07","0.07","0.1","0.1","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.04","0","0.05","0","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.07","0.07","0.1","0.1","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.04","0","0.04","0","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.5","0.5","0.5","0.49","1.52","1.52"
"27","Cod","Average Catch"," 40,001"," 40,046"," 27,582"," 27,596"," 35,249"," 35,210"
"28","Cod","Catch IAV","  9,507","  9,499","  5,838","  5,644","  6,617","  6,552"
"29","Cod","P(Closed)","0","0","0","0","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0","0","0.14","0.14","0.03","0.03"
"31","Cod","EM: P(Fy > Flimit)","0.14","0.17","0.32","0.32","0.19","0.2"
"32","Cod","EM: P(SSB < SSBlimit)","0.06","0","0.08","0.05","0.06","0"
"33","Cod","OM: P(Fy > Flimit)","0.37","0.41","0.98","1","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.09","0","0.5","0.4","0.04","0.05"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02","0.02","0","0","0.19","0.2"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.26","0.27","0.66","0.68","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0.02","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.04","0","0.42","0.35","0.01","0.05"
"39","Cod","OM: Terminal SSB Depletion","0.44","0.48","0.24","0.26","0.52","0.52"
"14","Arrowtooth flounder","Average Catch","122,598","122,577","146,175","146,195","147,603","147,574"
"15","Arrowtooth flounder","Catch IAV","    937","    937","    950","    950","    926","    928"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.01","0.01","0.15","0.15","0.18","0.18"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0.03","0.03","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.03","0.03","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.38","0.4","0.44","0.45","0.53","0.53"
