"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM_ConstantR","SS_OM__SS_estM_Fspr_EM_ConstantR","SSM_OM__SS_fixM_Fspr_EM_ConstantR","SSM_OM__SS_estM_Fspr_EM_ConstantR","MS_OM__SS_fixM_Fspr_EM_ConstantR","MS_OM__SS_estM_Fspr_EM_ConstantR"
"1","Pollock","Average Catch","2,136,327","2,391,967","2,507,839","3,927,088","2,960,186","3,642,266"
"2","Pollock","Catch IAV","   55,755","  227,917","   48,688","  298,430","   97,564","  388,911"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0.33","0.76","0.02","0.44","0.23","0.49"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.03","0","0.02","0","0.02"
"7","Pollock","OM: P(Fy > Flimit)","0.45","1","0","0.68","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.01","0.1","0","0.03","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03","0","0.02","0.05","0.23","0.49"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.16","0.24","0","0.29","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0.02"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0.07","0","0.01","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.4","0.33","0.6","0.4","1.26","1.01"
"14","Cod","Average Catch","  147,026","  150,117","  147,490","  145,730","  156,527","  161,628"
"15","Cod","Catch IAV","    2,026","    2,183","    1,956","    1,870","    2,468","    2,564"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0.37","0.32","0.27","0.29","0.27","0.23"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0.18","0.87","0.71","0.27","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0.01","0.01","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.27","0.03","0.04","0.17","0.27","0.23"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.08","0.58","0.48","0.15","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0.01","0","0","0","0"
"26","Cod","OM: Terminal SSB Depletion","0.39","0.38","0.38","0.39","0.66","0.66"
"27","Arrowtooth flounder","Average Catch","   32,910","   33,791","   38,095","   47,839","   35,405","   37,167"
"28","Arrowtooth flounder","Catch IAV","      201","      248","      302","      639","      192","      224"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0.2","0.25","0.5","0.25","0.12","0.15"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0.5","0.98","0","0.77","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.04","0","0.5","0.02","0.12","0.15"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.34","0.73","0","0.54","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.43","0.42","0.54","0.41","0.52","0.52"
