"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_AllUp","SS_OM__SS_fixM_dynamicTier3_EM_AllUp","SS_OM__SS_estM_Tier3_EM_AllUp","SS_OM__SS_estM_dynamicTier3_EM_AllUp","SSM_OM__SS_fixM_Tier3_EM_AllUp","SSM_OM__SS_fixM_dynamicTier3_EM_AllUp","SSM_OM__SS_estM_Tier3_EM_AllUp","SSM_OM__SS_estM_dynamicTier3_EM_AllUp","MS_OM__SS_fixM_Tier3_EM_AllUp","MS_OM__SS_fixM_dynamicTier3_EM_AllUp","MS_OM__SS_estM_Tier3_EM_AllUp","MS_OM__SS_estM_dynamicTier3_EM_AllUp"
"1","Pollock","Average Catch",2975032.55347779,2961402.29850125,3349709.51988718,3333375.92121806,3503791.78723372,3473664.95122461,5541316.90452222,5486828.61091251,3622993.26402055,3576922.56425517,4518304.22918892,4479925.82269454
"2","Pollock","Catch IAV",80019.6790752897,84953.5452006802,247270.878361678,170372.793624369,72623.2229238226,82147.8071338808,390017.800829564,331633.044146228,150581.218811006,168475.652998,490533.414385007,395513.795974493
"3","Pollock","P(Closed)",0,0,0.000310077519379845,0,0,0,0,0,0,0,0.00767441860465116,0.00193798449612403
"4","Pollock","Avg terminal SSB Relative MSE",0.000274834919919343,0.000288653461128543,0.0138112280752069,0.0140712619544649,0.0838379123801863,0.0848527325704505,0.00084456088576773,0.000797867279146897,0.00505024691570328,0.00519353097895198,0.00930219434299972,0.00982145114001864
"5","Pollock","EM: P(Fy > Flimit)",0,0,0.00798449612403101,0.000387596899224806,0,0,0,0,0,0,0.0317829457364341,0.0232558139534884
"6","Pollock","EM: P(SSB < SSBlimit)",0,0,0.00116279069767442,0,0,0,0.000155038759689922,0,7.75193798449612e-05,0.000155038759689922,0.0122480620155039,0.00627906976744186
"7","Pollock","OM: P(Fy > Flimit)",0,0,0.414430894308943,0.407723577235772,0,0,8.13008130081301e-05,0.515447154471545,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0.00131782945736434,0,0.0427131782945736,0.000775193798449612,0,0,0.00914728682170543,0,0,0,0.000232558139534884,0.000930232558139535
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0.00483739837398374,0.00016260162601626,0,0,0,0,0,0,0.031869918699187,0.0232926829268293
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0.411260162601626,0.407520325203252,0,0,8.13008130081301e-05,0.515447154471545,0,0,0,0
