"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_AllUp","SS_OM__SS_fixM_dynamicTier3_EM_AllUp","SS_OM__SS_estM_Tier3_EM_AllUp","SS_OM__SS_estM_dynamicTier3_EM_AllUp","SSM_OM__SS_fixM_Tier3_EM_AllUp","SSM_OM__SS_fixM_dynamicTier3_EM_AllUp","SSM_OM__SS_estM_Tier3_EM_AllUp","SSM_OM__SS_estM_dynamicTier3_EM_AllUp","MS_OM__SS_fixM_Tier3_EM_AllUp","MS_OM__SS_fixM_dynamicTier3_EM_AllUp","MS_OM__SS_estM_Tier3_EM_AllUp","MS_OM__SS_estM_dynamicTier3_EM_AllUp"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0.000317460317460317,0,0,0,0,0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0567460317460317,0.000158730158730159,0.108809523809524,0.00515873015873016,0.0617460317460317,0.000158730158730159,0.0311111111111111,0.000158730158730159,0.181031746031746,0.172619047619048,0.663412698412698,0.662460317460317
"13","Pollock","OM: Terminal SSB/SSBtarget",0.509671047107261,0.514063633895686,0.458264271855764,0.461647983443892,0.506354399461262,0.508795775854787,0.554961778312546,0.548020951448746,1.11813539403164,1.12361985408358,0.661778296761436,0.668817521709664
"14","Arrowtooth flounder","Average Catch",111250.663524799,111305.307678205,110223.753088663,110376.655398152,129978.785918513,129879.074270691,144625.440266822,144711.38301239,130508.613390116,130391.325009518,142035.340455445,141990.112107013
"15","Arrowtooth flounder","Catch IAV",453.210756372633,447.734670040301,1427.71845954956,1405.78193389419,495.938778149819,504.477898813573,1239.12763377879,1224.54056856284,482.657415980232,495.206918294691,1139.96898829682,1142.35219920016
"16","Arrowtooth flounder","P(Closed)",0,0,0,0,0,0,0,0,0,0,0,0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00279055673007043,0.00287795087619923,0.00332204682098528,0.00331967621994112,0.135354729070072,0.134933135295776,0.0145796386061023,0.0148213957070516,0.163699966313621,0.16370044326954,0.0156282577823704,0.0156228302005032
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0,0,0.0380952380952381,0.0383333333333333,0,0,0,0,0,0,0,0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0.0380952380952381,0.0383333333333333,0,0,0,0,0,0,0,0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.552820476887432,0.552171462602009,0.557301831666186,0.555782619197407,0.639350279544196,0.639694454959726,0.570232600502921,0.569459020494331,0.655263256288709,0.655556532862481,0.610802728757702,0.610713617286924
"27","Cod","Average Catch",45820.834997191,45325.8425153216,37886.9709734489,37797.3488119278,29378.0366826148,29370.1076888298,20059.6057793942,20957.0594558886,38229.4411235428,37852.4793543491,29583.7804097559,29529.9532730174
"28","Cod","Catch IAV",15403.5125769164,15888.2556727271,9044.5395414921,10118.3241710029,12140.4067417374,10681.3302739326,2466.84446788498,2516.83028249849,11899.2743344692,11188.0844535894,5194.31588014144,5385.00519873543
"29","Cod","P(Closed)",0.0277777777777778,0.000396825396825397,0.0156349206349206,0,0.0558730158730159,0.0248412698412698,0.100555555555556,0.00357142857142857,0.046031746031746,0.00111111111111111,0.0342063492063492,0
"30","Cod","Avg terminal SSB Relative MSE",0.00380552058139305,0.00278445063780577,0.0181751416439026,0.0160735996831309,0.1468698595425,0.122262173875873,0.00473104267295252,0.00293091944821241,0.0271996009948969,0.0184559726224096,0.00738655062294183,0.00765934274777484
"31","Cod","EM: P(Fy > Flimit)",0.0158730158730159,0.0113492063492063,0.00285714285714286,0.00198412698412698,0.117222222222222,0.114126984126984,7.93650793650794e-05,0.000158730158730159,0.0454761904761905,0.0442063492063492,0.00119047619047619,0.000317460317460317
"32","Cod","EM: P(SSB < SSBlimit)",0.0423015873015873,0.000873015873015873,0.0367460317460317,7.93650793650794e-05,0.0620634920634921,0.0496825396825397,0.102222222222222,0.048968253968254,0.0485714285714286,0.0236507936507937,0.0477777777777778,0
"33","Cod","OM: P(Fy > Flimit)",0.0285714285714286,0.0249603174603175,0,0,0.638373015873016,0.654246031746032,0.166706349206349,0.166944444444444,3.96825396825397e-05,0.000515873015873016,0,0
"34","Cod","OM: P(SSB < SSBlimit)",0.0742063492063492,0.000714285714285714,0.0464285714285714,0,0.473333333333333,0.370079365079365,0.100079365079365,0.0476190476190476,0.141269841269841,0.140793650793651,0.0771428571428571,0.0782539682539683
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0150396825396825,0.00984126984126984,0.00285714285714286,0.00198412698412698,0.0488095238095238,0.0513492063492063,7.93650793650794e-05,0.000158730158730159,0.0454365079365079,0.0437301587301587,0.00119047619047619,0.000317460317460317
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0277380952380952,0.023452380952381,0,0,0.569960317460318,0.591468253968254,0.166706349206349,0.166944444444444,0,3.96825396825397e-05,0,0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0.000317460317460317,0.00103174603174603,7.93650793650794e-05,0,0,0.00238095238095238,0.00134920634920635,0,0,0,0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0319047619047619,0.000158730158730159,0.0107142857142857,0,0.411269841269841,0.320396825396825,0.000238095238095238,0,0.0926984126984127,0.117142857142857,0.0293650793650794,0.0782539682539683
"39","Cod","OM: Terminal SSB/SSBtarget",0.53669993125753,0.543560078865147,0.658262948939174,0.659582523765264,0.277152229137112,0.279290622879601,0.575070445958751,0.562679026820469,0.465898595079362,0.474090024021906,0.641008186857163,0.643539170217881
