"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_AllUp","SS_OM__SS_fixM_dynamicTier3_EM_AllUp","SS_OM__SS_estM_Tier3_EM_AllUp","SS_OM__SS_estM_dynamicTier3_EM_AllUp","SSM_OM__SS_fixM_Tier3_EM_AllUp","SSM_OM__SS_fixM_dynamicTier3_EM_AllUp","SSM_OM__SS_estM_Tier3_EM_AllUp","SSM_OM__SS_estM_dynamicTier3_EM_AllUp","MS_OM__SS_fixM_Tier3_EM_AllUp","MS_OM__SS_fixM_dynamicTier3_EM_AllUp","MS_OM__SS_estM_Tier3_EM_AllUp","MS_OM__SS_estM_dynamicTier3_EM_AllUp"
"1","Pollock","Average Catch",216793.927820241,215313.636378073,234440.651832979,233620.374127814,206013.163728713,205097.771329974,191814.534862908,193686.458853238,335607.530927815,333078.442820915,528190.426005453,526369.268012104
"2","Pollock","Catch IAV",28201.1257338748,27860.1373600756,32288.9504883454,31683.7055979916,24273.682304436,24835.5255534977,20092.0211458835,20749.0924015869,29491.5749632998,30899.283703277,81257.7422498312,84866.660272547
"3","Pollock","P(Closed)",0.000952380952380952,0,0.00238095238095238,0,0.000555555555555556,0,0.00103174603174603,0,7.93650793650794e-05,0,0.00531746031746032,0.000634920634920635
"4","Pollock","Avg terminal SSB Relative MSE",0.00784406687515446,0.00823716934829546,0.0198996303432133,0.0227295894440931,0.0182927569986319,0.0195967680552539,0.00996886394085156,0.00768041767419317,0.0203908870864487,0.0209345744616086,0.0521706331202631,0.0530195906262007
"5","Pollock","EM: P(Fy > Flimit)",0.00198412698412698,0.00246031746031746,0.0229365079365079,0.0229365079365079,0.00468253968253968,0.0046031746031746,0.0180952380952381,0.0157936507936508,0.000873015873015873,0.000396825396825397,0.0233333333333333,0.016984126984127
"6","Pollock","EM: P(SSB < SSBlimit)",0.00206349206349206,0,0.00365079365079365,7.93650793650794e-05,0.00103174603174603,0,0.00214285714285714,0,0.000238095238095238,0,0.00738095238095238,0.00103174603174603
"7","Pollock","OM: P(Fy > Flimit)",0.156825396825397,0.14718253968254,0.342460317460317,0.333174603174603,0.163214285714286,0.152103174603175,0.0752777777777778,0.0856746031746032,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0588095238095238,0.000158730158730159,0.112460317460317,0.00523809523809524,0.0627777777777778,0.000158730158730159,0.0329365079365079,0.000158730158730159,0.181269841269841,0.172619047619048,0.670793650793651,0.663492063492063
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00142857142857143,0.00162698412698413,0.0148412698412698,0.0142460317460317,0.00257936507936508,0.00222222222222222,0.011547619047619,0.0105555555555556,0.000873015873015873,0.000396825396825397,0.0233333333333333,0.016984126984127
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.156269841269841,0.146349206349206,0.334365079365079,0.324484126984127,0.161111111111111,0.149722222222222,0.0687301587301587,0.0804365079365079,0,0,0,0
