"","Species","Performance.metric","SS_OM__SS_fixM_AvgF_EM_ConstantR","SS_OM__SS_estM_AvgF_EM_ConstantR","SSM_OM__SS_fixM_AvgF_EM_ConstantR","SSM_OM__SS_estM_AvgF_EM_ConstantR","MS_OM__SS_fixM_AvgF_EM_ConstantR","MS_OM__SS_estM_AvgF_EM_ConstantR"
"1","Pollock","Average Catch","1,871,300","2,027,015","2,126,322","3,034,820","2,497,025","2,934,402"
"2","Pollock","Catch IAV","   40,871","  101,770","   36,259","  148,776","   73,077","  194,235"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.02","0.1","0","0.01","0.03"
"5","Pollock","EM: P(Fy > Flimit)","0","0.01","0","0.66","0","0.03"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.02","0","0.01","0","0.01"
"7","Pollock","OM: P(Fy > Flimit)","0","0.04","0","0.65","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.01","0.06","0","0.02","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0.01","0","0.03"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.02","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0.01"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0.04","0","0.01","0","0"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.47","0.43","0.66","0.52","1.37","1.18"
"14","Cod","Average Catch","  134,284","  132,647","  135,296","  129,315","  139,290","  138,966"
"15","Cod","Catch IAV","    3,613","    4,389","    3,729","    4,589","    4,496","    5,309"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)",NA,NA,NA,NA,NA,NA
"20","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0.01","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",NA,NA,NA,NA,NA,NA
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",NA,NA,NA,NA,NA,NA
"26","Cod","OM: Terminal SSB/SSBtarget","0.44","0.44","0.43","0.45","0.71","0.73"
"27","Arrowtooth flounder","Average Catch","   32,078","   31,805","   36,156","   42,028","   33,756","   33,976"
"28","Arrowtooth flounder","Catch IAV","      577","      461","      547","      668","      506","      397"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",NA,NA,NA,NA,NA,NA
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",NA,NA,NA,NA,NA,NA
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0",NA,"0","0"
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.45","0.45","0.56","0.49","0.54","0.55"
