"","OM","EM","Species","Performance.metric","Value"
"54","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"55","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: P(Fy > Flimit)","0"
"56","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"57","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"58","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"59","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"60","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"61","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal B","15,528,801"
"62","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal SSB"," 3,896,687"
"63","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal SSB Depletion","0.68"
"64","SS_OM","SS_fixM_dynamicCat1_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.43"
"65","SS_OM","SS_fixM_dynamicCat1_EM","Cod","Average Catch","   140,936"
"66","SS_OM","SS_fixM_dynamicCat1_EM","Cod","Catch IAV","0.11"
"67","SS_OM","SS_fixM_dynamicCat1_EM","Cod","P(Closed)","0"
"68","SS_OM","SS_fixM_dynamicCat1_EM","Cod","Avg terminal SSB Relative MSE","0"
"69","SS_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(Fy > Flimit)","0.02"
"70","SS_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(SSB < SSBlimit)","0"
"71","SS_OM","SS_fixM_dynamicCat1_EM","Cod","OM: P(Fy > Flimit)","0"
"72","SS_OM","SS_fixM_dynamicCat1_EM","Cod","OM: P(SSB < SSBlimit)","0"
"73","SS_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"74","SS_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"75","SS_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"76","SS_OM","SS_fixM_dynamicCat1_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"77","SS_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal B"," 1,236,692"
"78","SS_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal SSB","   261,372"
"79","SS_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal SSB Depletion","0.61"
"80","SS_OM","SS_fixM_dynamicCat1_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.44"
"81","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","Average Catch","    34,423"
"82","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","Catch IAV","0.08"
"83","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","P(Closed)","0"
"84","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0"
"85","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"86","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"87","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"88","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"89","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"90","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"91","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"92","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"93","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal B","   312,771"
"94","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal SSB","   170,203"
"95","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.57"
"96","SS_OM","SS_fixM_dynamicCat1_EM","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.38"
"97","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","Average Catch"," 2,400,621"
"98","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","Catch IAV","0.19"
"99","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","P(Closed)","0"
"100","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","Avg terminal SSB Relative MSE","0"
"101","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy > Flimit)","0.02"
"102","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB < SSBlimit)","0.01"
"103","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","OM: P(Fy > Flimit)","0"
"104","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"105","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02"
"106","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"107","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.01"
"108","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"109","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal B","18,404,428"
"110","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB"," 4,684,181"
"111","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB Depletion","0.86"
"112","SS_Ricker_OM","SS_fixM_Cat1_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.72"
"113","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","Average Catch","   160,410"
"114","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","Catch IAV","0.12"
"115","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","P(Closed)","0"
"116","SS_Ricker_OM","SS_fixM_Cat1_EM","Cod","Avg terminal SSB Relative MSE","0"
