"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM","SS_OM__SS_fixM_dynamicTier3_EM","SS_OM__SS_fixM_Cat1_EM","SS_OM__SS_fixM_dynamicCat1_EM","SS_OM__SS_fixM_Tier1_EM","SS_OM__SS_fixM_dynamicTier1_EM","SS_OM__SS_fixM_Fspr_EM","SS_OM__SS_fixM_AvgF_EM","SS_OM__SS_estM_Tier3_EM","SS_OM__SS_estM_dynamicTier3_EM","SS_OM__SS_estM_Cat1_EM","SS_OM__SS_estM_dynamicCat1_EM","SS_OM__SS_estM_Tier1_EM","SS_OM__SS_estM_dynamicTier1_EM","SS_OM__SS_estM_Fspr_EM","SS_OM__SS_estM_AvgF_EM","SSM_OM__SS_fixM_Tier3_EM","SSM_OM__SS_fixM_dynamicTier3_EM","SSM_OM__SS_fixM_Cat1_EM","SSM_OM__SS_fixM_dynamicCat1_EM","SSM_OM__SS_fixM_Tier1_EM","SSM_OM__SS_fixM_dynamicTier1_EM","SSM_OM__SS_fixM_Fspr_EM","SSM_OM__SS_fixM_AvgF_EM","SSM_OM__SS_estM_Tier3_EM","SSM_OM__SS_estM_dynamicTier3_EM","SSM_OM__SS_estM_Cat1_EM","SSM_OM__SS_estM_dynamicCat1_EM","SSM_OM__SS_estM_Tier1_EM","SSM_OM__SS_estM_dynamicTier1_EM","SSM_OM__SS_estM_Fspr_EM","SSM_OM__SS_estM_AvgF_EM","MS_OM__SS_fixM_Tier3_EM","MS_OM__SS_fixM_dynamicTier3_EM","MS_OM__SS_fixM_Cat1_EM","MS_OM__SS_fixM_dynamicCat1_EM","MS_OM__SS_fixM_Tier1_EM","MS_OM__SS_fixM_dynamicTier1_EM","MS_OM__SS_fixM_Fspr_EM","MS_OM__SS_fixM_AvgF_EM","MS_OM__SS_estM_Tier3_EM","MS_OM__SS_estM_dynamicTier3_EM","MS_OM__SS_estM_Cat1_EM","MS_OM__SS_estM_dynamicCat1_EM","MS_OM__SS_estM_Tier1_EM","MS_OM__SS_estM_dynamicTier1_EM","MS_OM__SS_estM_Fspr_EM","MS_OM__SS_estM_AvgF_EM"
"1","Pollock","Average Catch",2090246.48111011,2110923.03648256,1846059.73001562,1849118.06402927,1848571.71730555,1865281.60684066,1299129.94464188,2140680.75911977,2350292.26496436,2366412.9872861,2151787.38870862,2155987.16279215,2157184.30384556,2176024.10032594,1336684.99361576,2392704.91331152,2455809.46903846,2468792.30234254,2012534.04497832,2017016.57841432,2029454.73673662,2043273.7633181,1354769.42339754,2513505.56415318,3841992.88406381,3859277.09969309,3365931.41499272,3372663.65351356,3354200.49700674,3393706.7559509,1372260.40465893,3881763.94685872,2914326.13534852,2899793.17198274,2305561.92738578,2307420.6468123,2384976.30160715,2388715.46978044,1619720.8547222,2958836.13865709,3595724.11305121,3587594.4774739,3003990.94836999,3004668.71494487,3090856.22222568,3087912.26291619,1427376.77090098,3641411.42273837
"2","Pollock","Catch IAV",83516.7668812697,69835.4392718488,30053.8116241852,28607.7925491678,43656.9755614444,30098.120314646,10315.2314852919,55879.8486573697,304603.720367266,167413.186464213,64059.8703854716,59740.5961026264,103641.897438067,67007.327179605,10994.3482058625,147482.743114241,68073.4676804106,61800.7253802027,27269.0021826002,26459.2254066396,35989.0211489806,27763.2419564119,11152.2998764347,48900.6358034463,414359.267233966,257301.422201587,116588.290718188,109651.92092726,174277.551023465,117967.728780305,11884.2699573913,217589.640977166,122203.008912983,123710.051475463,56624.5374908595,56236.6356328421,64472.1243351351,60439.5243037786,24565.866007935,98157.0685755526,498058.859720007,342548.609081481,141120.720746097,136436.968184963,186038.476883022,155503.611120422,21885.0400315444,279755.400512422
"3","Pollock","P(Closed)",0,0,0,0,0,0,0,0,0.000465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802325581395349,0.00209302325581395,0,0,0,0,0,0
"4","Pollock","Avg terminal SSB Relative MSE",0.000273322087816051,0.000279161930296274,0.00023554272006316,0.000248129522194369,0.000246788082902003,0.000255379888924174,0.00023656813125565,0.0002890263855408,0.0133497528039406,0.0125104552234704,0.0179432267032938,0.0169021576181288,0.0218710736904254,0.0204082306077063,0.0492515933504772,0.0113084487242568,0.0841270403675767,0.0830044797445472,0.102925049650491,0.102179285917789,0.101788934886683,0.101362215727235,0.131607583563077,0.0807625662835062,0.000662359198780549,0.00061795380610178,0.000469966156130017,0.000426621705402532,0.000774153748892272,0.000678793526659538,0.00224963373769388,0.000509067204922871,0.00312623561841289,0.00313592372930646,0.00563213668207003,0.00552515132627794,0.00491870298953554,0.00504375899592634,0.00966309978381451,0.00305906397861949,0.012412788613296,0.0121630129273943,0.0120441434986245,0.0119138933717048,0.0182003598607563,0.016862055530154,0.086310116049996,0.0105378588422194
"5","Pollock","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0.00825581395348837,0.000348837209302326,0.00383720930232558,0.00697674418604651,0,0,0,0.0169767441860465,0,0,0,0,0,0,0,0,0,0,0.00290697674418605,0.00232558139534884,0,0,0,0.988255813953488,0,0,0,0,0,0,0,0,0.0322093023255814,0.0232558139534884,0.0481395348837209,0.0516279069767442,0,0,0,0.0513953488372093
"6","Pollock","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0.00406976744186047,0.00151162790697674,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.000348837209302326,0.000465116279069767,0,0,0,0,0,0,0.0163953488372093,0,0,0,0,0,0,0,0.00116279069767442,0.012093023255814,0.00581395348837209,0,0,0,0,0,0.0217441860465116
"7","Pollock","OM: P(Fy > Flimit)",0,0,0.024390243902439,0.024390243902439,0,0,0,0,0.301463414634146,0.376829268292683,0.546036585365854,0.548780487804878,0,0,0,0.0284756097560976,0,0,0.0121951219512195,0.0121951219512195,0,0,0,0,0.000121951219512195,0.511219512195122,0.536585365853659,0.536585365853659,0,0,0,0.509756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0,0.00209302325581395,0,0,0,0.000116279069767442,0,0.00953488372093023,0.0287209302325581,0.0517441860465116,0,0,0.000465116279069767,0.0115116279069767,0,0.091046511627907,0,0,0,0,0,0,0,0,0.0027906976744186,0.012093023255814,0,0,0,0.00151162790697674,0,0.0265116279069767,0,0,0,0,0,0,0,0,0.000581395348837209,0.000930232558139535,0,0,0,0,0,0.000581395348837209
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0,0,0,0,0,0.00597560975609756,0.00024390243902439,0.00213414634146341,0.00341463414634146,0,0,0,0.0164024390243902,0,0,0,0,0,0,0,0,0,0,0.00213414634146341,0.00115853658536585,0,0,0,0.485182926829268,0,0,0,0,0,0,0,0,0.0320731707317073,0.0232926829268293,0.0482926829268293,0.0517073170731707,0,0,0,0.0514634146341463
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0.024390243902439,0.024390243902439,0,0,0,0,0.299207317073171,0.376707317073171,0.544268292682927,0.54530487804878,0,0,0,0.0279878048780488,0,0,0.0121951219512195,0.0121951219512195,0,0,0,0,0.000121951219512195,0.511219512195122,0.535914634146341,0.535426829268293,0,0,0,0.00670731707317073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
