"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier1_EM","SS_OM__SS_estM_dynamicTier1_EM","SSM_OM__SS_fixM_dynamicTier1_EM","SSM_OM__SS_estM_dynamicTier1_EM","MS_OM__SS_fixM_dynamicTier1_EM","MS_OM__SS_estM_dynamicTier1_EM"
"1","Pollock","Average Catch","134,655","152,175","129,435","121,790","222,990","386,319"
"2","Pollock","Catch IAV"," 11,919"," 14,898"," 10,382","  8,982"," 14,218"," 40,836"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.00888566743126891","0.039982423328073","0.0226102219417745","0.00843732213623139","0.0383812307143733","0.0763772250636499"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.03","0.08","0.04","0.02","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03","0.08","0.04","0.02","0","0.02"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.43","0.37","0.42","0.45","1.1","0.7"
"27","Cod","Average Catch"," 26,840"," 21,683"," 18,868"," 11,896"," 24,953"," 19,191"
"28","Cod","Catch IAV","  6,348","  3,803","  4,184","  1,191","  4,803","  2,405"
"29","Cod","P(Closed)","0","0","0","0.07","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0.00205753833914737","0.0368455198949651","0.153652896239597","0.0129288469208828","0.0162809618271943","0.0131735533069755"
"31","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Cod","EM: P(SSB < SSBlimit)","0","0","0.03","0.07","0","0"
"33","Cod","OM: P(Fy > Flimit)","0","0","0.01","0","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0.06","0.05","0.26","0.1","0.11","0.08"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0.01","0","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.06","0.05","0.23","0.02","0.11","0.08"
"39","Cod","OM: Terminal SSB/SSBtarget","0.45","0.53","0.24","0.47","0.43","0.56"
"14","Arrowtooth flounder","Average Catch"," 74,281"," 74,216"," 83,646"," 93,858"," 85,136"," 93,362"
"15","Arrowtooth flounder","Catch IAV","    216","    732","    236","    611","    232","    557"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.00134161062720787","0.0015308922903243","0.123449644418409","0.00846748142174341","0.151443170797451","0.00967522503066124"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.49","0.49","0.55","0.5","0.57","0.53"
