"","Species","Performance.metric","SS_OM__SS_estM_Cat1_EM_AllDown","SS_OM__SS_estM_dynamicCat1_EM_AllDown","SSM_OM__SS_estM_Cat1_EM_AllDown","SSM_OM__SS_estM_dynamicCat1_EM_AllDown","MS_OM__SS_estM_Cat1_EM_AllDown","MS_OM__SS_estM_dynamicCat1_EM_AllDown"
"1","Pollock","Average Catch","1,695,659","1,717,547","2,617,162","2,654,017","2,650,914","2,658,509"
"2","Pollock","Catch IAV","   66,895","   59,533","  109,811","   96,910","  155,808","  148,524"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.02","0.02","0","0","0.01","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0","0.01","0","0","0.06","0.07"
"6","Pollock","EM: P(SSB < SSBlimit)","0.07","0","0.09","0","0.02","0"
"7","Pollock","OM: P(Fy > Flimit)","0.94","1","0.01","0.01","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.26","0.01","0.16","0","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0.06","0.07"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.93","0.99","0.01","0.01","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0.02","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.19","0.01","0.07","0","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.35","0.39","0.4","0.47","0.95","0.95"
"14","Cod","Average Catch","  101,400","  102,259","   96,589","   97,232","  107,745","  108,315"
"15","Cod","Catch IAV","    1,343","    1,090","    1,087","      883","    1,459","    1,256"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0.03","0","0.02","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.02","0","0.02","0","0","0"
"26","Cod","OM: Terminal SSB Depletion","0.45","0.46","0.47","0.48","0.69","0.69"
"27","Arrowtooth flounder","Average Catch","   30,157","   30,175","   43,208","   43,309","   33,399","   33,408"
"28","Arrowtooth flounder","Catch IAV","      387","      385","    1,428","    1,403","      328","      327"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.34","0.36","0.3","0.33","0.41","0.41"
