"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM_AllUp","SS_OM__SS_estM_Fspr_EM_AllUp","SSM_OM__SS_fixM_Fspr_EM_AllUp","SSM_OM__SS_estM_Fspr_EM_AllUp","MS_OM__SS_fixM_Fspr_EM_AllUp","MS_OM__SS_estM_Fspr_EM_AllUp"
"1","Pollock","Average Catch","2,993,730","3,362,911","3,520,083","5,580,334","3,649,905","4,530,244"
"2","Pollock","Catch IAV","   68,992","  203,445","   66,912","  331,064","  133,801","  407,843"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0.23","0.68","0.01","0.37","0.42","0.61"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.01","0","0","0","0.02"
"7","Pollock","OM: P(Fy > Flimit)","0.32","1","0","0.71","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0.01","0","0","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.04","0","0.01","0.03","0.42","0.61"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.13","0.32","0","0.36","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0.01","0","0","0","0.01"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.61","0.5","0.88","0.59","1.84","1.49"
"14","Cod","Average Catch","  204,933","  209,307","  205,504","  202,868","  201,997","  211,731"
"15","Cod","Catch IAV","    2,832","    3,018","    2,704","    2,613","    3,405","    3,534"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0.29","0.26","0.2","0.22","0.24","0.2"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0.11","0.8","0.58","0.19","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.24","0.03","0.04","0.14","0.24","0.2"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.05","0.57","0.42","0.11","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Cod","OM: Terminal SSB Depletion","0.61","0.59","0.6","0.61","0.81","0.83"
"27","Arrowtooth flounder","Average Catch","   43,363","   44,629","   51,319","   64,726","   43,368","   46,064"
"28","Arrowtooth flounder","Catch IAV","      240","      279","      431","      695","      239","      273"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0.13","0.18","0.4","0.2","0.12","0.14"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0.36","0.97","0","0.69","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03","0","0.4","0.02","0.12","0.14"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.27","0.8","0","0.51","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.6","0.57","0.76","0.58","0.6","0.6"
