"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM_AllDown","SS_OM__SS_estM_dynamicTier3_EM_AllDown","SSM_OM__SS_fixM_dynamicTier3_EM_AllDown","SSM_OM__SS_estM_dynamicTier3_EM_AllDown","MS_OM__SS_fixM_dynamicTier3_EM_AllDown","MS_OM__SS_estM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch","121,871","129,781","116,333","109,575","256,152","409,276"
"2","Pollock","Catch IAV"," 15,567"," 17,154"," 13,543"," 12,200"," 20,354"," 55,667"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.02","0.01","0.02","0.07"
"5","Pollock","EM: P(Fy > Flimit)","0","0.03","0","0.02","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.16","0.31","0.17","0.08","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0.01","0","0","0.06","0.54"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.02","0","0.01","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.16","0.3","0.16","0.08","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0.01","0","0","0.06","0.54"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.3","0.27","0.29","0.32","0.97","0.6"
"27","Cod","Average Catch"," 24,821"," 20,218"," 16,074"," 11,583"," 24,162"," 18,566"
"28","Cod","Catch IAV","  9,705","  5,265","  8,933","  1,468","  8,352","  3,467"
"29","Cod","P(Closed)","0","0","0.03","0","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0","0.03","0.12","0","0.02","0.01"
"31","Cod","EM: P(Fy > Flimit)","0.02","0","0.14","0","0.05","0"
"32","Cod","EM: P(SSB < SSBlimit)","0","0","0.05","0.05","0.02","0"
"33","Cod","OM: P(Fy > Flimit)","0.03","0","0.65","0.17","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0","0","0.55","0.05","0.16","0.08"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02","0","0.06","0","0.05","0"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.03","0","0.57","0.17","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0.5","0","0.14","0.08"
"39","Cod","OM: Terminal SSB/SSBtarget","0.29","0.36","0.15","0.31","0.3","0.42"
"14","Arrowtooth flounder","Average Catch"," 72,666"," 72,527"," 82,177"," 90,897"," 85,167"," 92,275"
"15","Arrowtooth flounder","Catch IAV","    580","  2,032","    601","  1,715","    573","  1,517"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.13","0.01","0.16","0.02"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.36","0.36","0.4","0.35","0.42","0.39"
