"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup","SS_OM__SS_estM_dynamicTier3_EM_ATFRup","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRup","SSM_OM__SS_estM_dynamicTier3_EM_ATFRup","MS_OM__SS_fixM_dynamicTier3_EM_ATFRup","MS_OM__SS_estM_dynamicTier3_EM_ATFRup"
"1","Pollock","Average Catch","153,216","164,302","146,049","137,889","235,963","369,620"
"2","Pollock","Catch IAV"," 19,208"," 21,331"," 16,732"," 14,595"," 20,723"," 58,484"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.02","0.01","0.02","0.04"
"5","Pollock","EM: P(Fy > Flimit)","0","0.02","0","0.02","0","0.02"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.15","0.33","0.16","0.08","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0.2","0.69"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.02","0","0.01","0","0.02"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.15","0.32","0.16","0.08","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0.2","0.69"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.37","0.33","0.36","0.39","0.81","0.5"
"27","Cod","Average Catch"," 31,690"," 25,998"," 20,523"," 14,741"," 26,574"," 20,535"
"28","Cod","Catch IAV"," 11,238","  6,445","  9,231","  1,711","  9,064","  3,724"
"29","Cod","P(Closed)","0","0","0.03","0","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0","0.02","0.12","0","0.02","0.01"
"31","Cod","EM: P(Fy > Flimit)","0.01","0","0.13","0","0.05","0"
"32","Cod","EM: P(SSB < SSBlimit)","0","0","0.05","0.05","0.02","0"
"33","Cod","OM: P(Fy > Flimit)","0.03","0","0.65","0.17","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0","0","0.46","0.05","0.16","0.08"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.01","0","0.06","0","0.05","0"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.03","0","0.58","0.17","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0.41","0","0.13","0.08"
"39","Cod","OM: Terminal SSB/SSBtarget","0.37","0.46","0.19","0.39","0.33","0.46"
"14","Arrowtooth flounder","Average Catch","111,316","110,373","129,899","144,675","130,237","141,766"
"15","Arrowtooth flounder","Catch IAV","    447","  1,406","    505","  1,225","    496","  1,142"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.13","0.01","0.16","0.02"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.55","0.56","0.64","0.57","0.65","0.61"
