"","Species","Performance.metric","SS_OM__SS_fixM_AvgF_EM","SS_OM__SS_estM_AvgF_EM","SSM_OM__SS_fixM_AvgF_EM","SSM_OM__SS_estM_AvgF_EM","MS_OM__SS_fixM_AvgF_EM","MS_OM__SS_estM_AvgF_EM"
"1","Pollock","Average Catch","2,140,681","2,392,705","2,513,506","3,881,764","2,958,836","3,641,411"
"2","Pollock","Catch IAV","   55,880","  147,483","   48,901","  217,590","   98,157","  279,755"
"3","Pollock","% Years closed","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB MSE","0.0002890263855408","0.0113084487242568","0.0807625662835062","0.000509067204922871","0.00305906397861949","0.0105378588422194"
"5","Pollock","EM: P(Fy > Flimit)","0","0.02","0","0.99","0","0.05"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.03","0","0.02","0","0.02"
"7","Pollock","OM: P(Fy > Flimit)","0","0.03","0","0.51","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.01","0.09","0","0.03","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.02","0","0.49","0","0.05"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.03","0","0.01","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0.02"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0.07","0","0.01","0","0"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.4","0.33","0.6","0.4","1.26","1.01"
"14","Cod","Average Catch","  147,532","  152,125","  148,061","  147,406","  157,031","  163,455"
"15","Cod","Catch IAV","    1,992","    2,254","    1,902","    1,923","    2,429","    2,628"
"16","Cod","% Years closed","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB MSE","0.000638688302836144","0.000596830829987577","0.000568752321333056","0.00054146987401678","0.000562057643772322","0.000578913517067949"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0","0.01","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0.01","0.01","0.01","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0.01","0","0","0","0"
"26","Cod","OM: Terminal SSB/SSBtarget","0.39","0.37","0.38","0.38","0.66","0.66"
"27","Arrowtooth flounder","Average Catch","   32,879","   33,821","   38,068","   47,901","   35,358","   37,185"
"28","Arrowtooth flounder","Catch IAV","      206","      248","      308","      644","      195","      228"
"29","Arrowtooth flounder","% Years closed","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB MSE","0.000202816907784844","0.000221554461207353","0.00242393251303112","0.000483933472821644","0.00021010872502428","0.000246494559332596"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.43","0.41","0.54","0.41","0.52","0.51"
