"","OM","EM","Species","Performance.metric","Value"
"59","SS_OM","SS_estM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0"
"60","SS_OM","SS_estM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0"
"61","SS_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"62","SS_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"63","SS_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"64","SS_OM","SS_estM_dynamicTier3_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"65","SS_OM","SS_estM_dynamicTier3_EM","Cod","OM: Terminal SSB Depletion","0.39"
"66","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","Average Catch","   34,284"
"67","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","Catch IAV","      204"
"68","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","P(Closed)","0"
"69","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0"
"70","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"71","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"72","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"73","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"74","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"75","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"76","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"77","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"78","SS_OM","SS_estM_dynamicTier3_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.42"
"79","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","Average Catch","2,650,436"
"80","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","Catch IAV","  116,544"
"81","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","P(Closed)","0.01"
"82","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","Avg terminal SSB Relative MSE","0"
"83","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit)","0"
"84","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"85","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(Fy > Flimit)","0"
"86","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: P(SSB < SSBlimit)","0.01"
"87","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"88","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"89","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"90","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01"
"91","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Pollock","OM: Terminal SSB Depletion","0.69"
"92","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Average Catch","  174,713"
"93","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Catch IAV","    2,167"
"94","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","P(Closed)","0"
"95","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","Avg terminal SSB Relative MSE","0"
"96","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(Fy > Flimit)","0"
"97","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","EM: P(SSB < SSBlimit)","0"
"98","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(Fy > Flimit)","0"
"99","SS_Ricker_OM","SS_fixM_dynamicTier3_EM","Cod","OM: P(SSB < SSBlimit)","0"
