"","Species","Performance.metric","SS_OM__SS_fixM_AvgF_EM_AllDown","SS_OM__SS_estM_AvgF_EM_AllDown","SSM_OM__SS_fixM_AvgF_EM_AllDown","SSM_OM__SS_estM_AvgF_EM_AllDown","MS_OM__SS_fixM_AvgF_EM_AllDown","MS_OM__SS_estM_AvgF_EM_AllDown"
"1","Pollock","Average Catch","1,079,009","1,052,436","1,095,779","1,087,544","1,446,592","1,420,503"
"2","Pollock","Catch IAV","    9,089","    8,659","    9,109","    9,280","   18,387","   18,014"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.05","0.13","0","0","0.05"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.53","0.54","0.64","0.64","1.43","1.44"
"14","Cod","Average Catch","  133,925","  134,800","  134,551","  134,639","  145,536","  145,148"
"15","Cod","Catch IAV","    3,597","    3,523","    3,694","    3,709","    4,590","    4,489"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0.13","0.09","0.13","0.14","0.1","0.07"
"20","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0.15","0.17","0.18","0.18","0.07","0.06"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.04","0.02","0.04","0.04","0.05","0.03"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.06","0.1","0.09","0.08","0.02","0.03"
"26","Cod","OM: Terminal SSB Depletion","0.29","0.28","0.27","0.27","0.4","0.4"
"27","Arrowtooth flounder","Average Catch","    9,715","    9,633","    9,900","   10,090","   10,429","   10,346"
"28","Arrowtooth flounder","Catch IAV","       16","       15","       34","       21","       17","       17"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.01","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.71","0.71","0.73","0.73","0.85","0.85"
