"","Species","Performance.metric","SS_OM_SS_fixM_Tier3_EM","SS_OM_SS_estM_Tier3_EM","SS_Ricker_OM_SS_fixM_Tier3_EM","SS_Ricker_OM_SS_estM_Tier3_EM","SSM_OM_SS_fixM_Tier3_EM","SSM_OM_SS_estM_Tier3_EM","SSM_Ricker_OM_SS_fixM_Tier3_EM","SSM_Ricker_OM_SS_estM_Tier3_EM","MS_OM_SS_fixM_Tier3_EM","MS_OM_SS_estM_Tier3_EM","MS_Ricker_OM_SS_fixM_Tier3_EM","MS_Ricker_OM_SS_estM_Tier3_EM"
"1","Pollock","Average Catch","2,120,901","2,308,577","2,586,253","2,985,136","2,443,274","3,358,081","2,828,462","4,422,975","2,738,045","3,472,592","2,880,765","5,859,546"
"2","Pollock","Catch IAV","   83,976","  161,379","  153,375","  262,127","   69,932","  284,331","  139,278","  448,773","  101,156","  462,662","  172,472","1,522,709"
"3","Pollock","P(Closed)","0","0","0","0.01","0","0","0","0.01","0","0.02","0","0.06"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0","0.01","0.05","0","0.05","0","0","0.01","0.07","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0.02","0","0.04"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0.01","0","0","0","0.01","0","0.01","0","0.03"
"7","Pollock","OM: P(Fy > Flimit)","0","0.39","0","0.47","0","0","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0.02","0","0.02","0","0.01","0","0.01","0","0","0","0.01"
"9","Pollock","OM: Terminal SSB Depletion","0.41","0.36","0.82","0.75","0.57","0.42","0.95","0.79","1.07","0.87","1.05","0.81"
"10","Cod","Average Catch","  147,134","  147,414","  172,527","  172,903","  148,073","  144,995","  173,793","  195,627","  156,920","  157,360","  185,940","  196,377"
"11","Cod","Catch IAV","    3,249","    3,307","    3,612","    3,630","    3,083","    2,815","    4,047","    5,234","    3,577","    3,267","    4,632","    4,806"
"12","Cod","P(Closed)","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Cod","OM: Terminal SSB Depletion","0.4","0.4","0.69","0.69","0.38","0.4","0.72","0.65","0.62","0.65","0.7","0.68"
"19","Arrowtooth flounder","Average Catch","   33,497","   34,051","   47,487","   48,146","   38,422","   47,189","   57,213","   67,060","   40,019","   50,239","   59,552","   73,762"
"20","Arrowtooth flounder","Catch IAV","      221","      247","      206","      221","      324","      792","      414","      642","      326","      788","      444","      699"
"21","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Arrowtooth flounder","OM: Terminal SSB Depletion","0.44","0.43","0.61","0.59","0.54","0.42","0.78","0.58","0.58","0.46","0.8","0.61"
