"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_AllDown","SS_OM__SS_fixM_dynamicTier3_EM_AllUp","SS_OM__SS_fixM_dynamicTier3_EM_AllDown","SS_OM__SS_estM_Tier3_EM_AllUp","SS_OM__SS_estM_Tier3_EM_AllDown","SS_OM__SS_estM_dynamicTier3_EM_AllUp","SS_OM__SS_estM_dynamicTier3_EM_AllDown","SSM_OM__SS_fixM_Tier3_EM_AllUp","SSM_OM__SS_fixM_Tier3_EM_AllDown","SSM_OM__SS_fixM_dynamicTier3_EM_AllUp","SSM_OM__SS_fixM_dynamicTier3_EM_AllDown","SSM_OM__SS_estM_Tier3_EM_AllUp","SSM_OM__SS_estM_Tier3_EM_AllDown","SSM_OM__SS_estM_dynamicTier3_EM_AllUp","SSM_OM__SS_estM_dynamicTier3_EM_AllDown","MS_OM__SS_fixM_Tier3_EM_AllUp","MS_OM__SS_fixM_Tier3_EM_AllDown","MS_OM__SS_fixM_dynamicTier3_EM_AllUp","MS_OM__SS_fixM_dynamicTier3_EM_AllDown","MS_OM__SS_estM_Tier3_EM_AllUp","MS_OM__SS_estM_Tier3_EM_AllDown","MS_OM__SS_estM_dynamicTier3_EM_AllUp","MS_OM__SS_estM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch",1612349.31282851,2961402.29850125,1675828.26569462,3349709.51988718,1820126.10260972,3333375.92121806,1876967.05548571,3503791.78723372,1879235.27367221,3473664.95122461,1951551.95285992,5541316.90452222,2939818.81631616,5486828.61091251,3034458.52579528,3622993.26402055,2425839.74544843,3576922.56425517,2455079.14006468,4518304.22918892,2994318.38212351,4479925.82269454,3031034.32140167
"2","Pollock","Catch IAV",90801.1082522702,84953.5452006802,66762.632874137,247270.878361678,363647.937443687,170372.793624369,180414.74144328,72623.2229238226,73727.6222954674,82147.8071338808,55678.2139227845,390017.800829564,466844.861682253,331633.044146228,238026.67533035,150581.218811006,120878.936126794,168475.652998,110005.787897612,490533.414385007,546419.894427636,395513.795974493,335185.759349495
"3","Pollock","P(Closed)",0.0013953488372093,0,0,0.000310077519379845,0.00550387596899225,0,0,0,0.00155038759689922,0,0,0,0.0110852713178295,0,0,0,7.75193798449612e-05,0,0,0.00767441860465116,0.00914728682170543,0.00193798449612403,0.00193798449612403
"4","Pollock","Avg terminal SSB Relative MSE",0.000270734828340264,0.000288653461128543,0.000290802738876489,0.0138112280752069,0.014936907630101,0.0140712619544649,0.0110224266909696,0.0838379123801863,0.0871851469898277,0.0848527325704505,0.0818130933350227,0.00084456088576773,0.000755747215412503,0.000797867279146897,0.000502380090574249,0.00505024691570328,0.00255631836308489,0.00519353097895198,0.00239414330521967,0.00930219434299972,0.0136313161308298,0.00982145114001864,0.0124884514274297
"5","Pollock","EM: P(Fy > Flimit)",0,0,0,0.00798449612403101,0.00837209302325581,0.000387596899224806,0.000465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0.0317829457364341,0.0313953488372093,0.0232558139534884,0.0232558139534884
"6","Pollock","EM: P(SSB < SSBlimit)",0.00186046511627907,0,0,0.00116279069767442,0.00643410852713178,0,0,0,0.00131782945736434,0,0,0.000155038759689922,0.0112403100775194,0,0,7.75193798449612e-05,0,0.000155038759689922,0,0.0122480620155039,0.0132558139534884,0.00627906976744186,0.00565891472868217
"7","Pollock","OM: P(Fy > Flimit)",0,0,0,0.414430894308943,0.195853658536585,0.407723577235772,0.348780487804878,0,0,0,0,8.13008130081301e-05,0.00016260162601626,0.515447154471545,0.50630081300813,0,0,0,0,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0258914728682171,7.75193798449612e-05,0.0904651162790698,0.0176744186046512,0.144496124031008,0.0173643410852713,0.255736434108527,0,0.000542635658914729,0,0.00496124031007752,0.000465116279069767,0.0627131782945736,0.00224806201550388,0.144496124031008,0,0,0,0,0.00062015503875969,0.000775193798449612,0.0010077519379845,0.00124031007751938
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0.00483739837398374,0.00686991869918699,0.00016260162601626,0.00032520325203252,0,0,0,0,0,0,0,0,0,0,0,0,0.031869918699187,0.0315040650406504,0.0232926829268293,0.0232926829268293
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0,0.411260162601626,0.194308943089431,0.407520325203252,0.348617886178862,0,0,0,0,8.13008130081301e-05,0.00016260162601626,0.515447154471545,0.50630081300813,0,0,0,0,0,0,0,0
