"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM_ConstantR","SS_OM__SS_estM_dynamicTier3_EM_ConstantR","SSM_OM__SS_fixM_dynamicTier3_EM_ConstantR","SSM_OM__SS_estM_dynamicTier3_EM_ConstantR","MS_OM__SS_fixM_dynamicTier3_EM_ConstantR","MS_OM__SS_estM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch","153,351","164,770","146,308","135,186","293,632","467,352"
"2","Pollock","Catch IAV"," 19,433"," 22,320"," 16,734"," 14,002"," 24,561"," 67,319"
"3","Pollock","P(Closed)","1","1","1","1","1","1"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.02","0.01","0.02","0.07"
"5","Pollock","EM: P(Fy > Flimit)","0.02","0.1","0.02","0.09","0","0.03"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.66","0.91","0.7","0.25","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0.03","0","0.03"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.64","0.8","0.68","0.19","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0.02"
"13","Pollock","OM: Terminal SSB Depletion","0.37","0.33","0.36","0.4","1.06","0.64"
"27","Cod","Average Catch"," 31,708"," 26,008"," 20,542"," 14,747"," 29,451"," 22,757"
"28","Cod","Catch IAV"," 11,382","  6,561","  9,322","  1,706","  9,277","  4,013"
"29","Cod","P(Closed)","1","1","0.97","1","1","1"
"30","Cod","Avg terminal SSB Relative MSE","0","0.02","0.12","0","0.02","0.01"
"31","Cod","EM: P(Fy > Flimit)","0.06","0.02","0.17","0.02","0.08","0.01"
"32","Cod","EM: P(SSB < SSBlimit)","0","0","0.05","0","0","0"
"33","Cod","OM: P(Fy > Flimit)","0.12","0","1","0.05","0","0"
"34","Cod","OM: P(SSB < SSBlimit)","0","0","0.29","0.02","0.16","0.08"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0.02","0","0","0.08","0.01"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.07","0","0.83","0.03","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0.25","0.02","0.16","0.08"
"39","Cod","OM: Terminal SSB Depletion","0.41","0.51","0.2","0.42","0.36","0.5"
"14","Arrowtooth flounder","Average Catch"," 85,815"," 85,229"," 98,382","108,990","101,058","109,568"
"15","Arrowtooth flounder","Catch IAV","    491","  1,722","    514","  1,444","    500","  1,305"
"16","Arrowtooth flounder","P(Closed)","1","1","1","1","1","1"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.13","0.01","0.17","0.02"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.07","0","0","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.07","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.44","0.44","0.5","0.44","0.5","0.47"
