"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_AllDown","SS_OM__SS_fixM_dynamicTier3_EM_AllDown","SS_OM__SS_estM_Tier3_EM_AllDown","SS_OM__SS_estM_dynamicTier3_EM_AllDown","SSM_OM__SS_fixM_Tier3_EM_AllDown","SSM_OM__SS_fixM_dynamicTier3_EM_AllDown","SSM_OM__SS_estM_Tier3_EM_AllDown","SSM_OM__SS_estM_dynamicTier3_EM_AllDown","MS_OM__SS_fixM_Tier3_EM_AllDown","MS_OM__SS_fixM_dynamicTier3_EM_AllDown","MS_OM__SS_estM_Tier3_EM_AllDown","MS_OM__SS_estM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch",117219.395571034,121870.775035083,125569.954937566,129780.921851891,111759.31673968,116332.514296343,104733.140615988,109575.415191869,255430.211304828,256151.620197923,405408.458309863,409276.349359255
"2","Pollock","Catch IAV",19205.8037491378,15566.8290680836,22166.4484836516,17153.8412064133,16573.1894817554,13543.3911300894,14372.0369596047,12199.9693142143,20236.3248051082,20353.7242039695,56719.3957386777,55666.745440633
"3","Pollock","P(Closed)",0.0234126984126984,0,0.0298412698412698,0,0.0222222222222222,0,0.0207936507936508,0,7.93650793650794e-05,0,0.00507936507936508,0
"4","Pollock","Avg terminal SSB Relative MSE",0.00959444120674795,0.00790435877406326,0.0274684507452741,0.0163916134659763,0.0217605728828707,0.0181430221785861,0.00923741204594221,0.00761916468240677,0.0201714183249294,0.0193760262163276,0.0727553470358395,0.0693550443663225
"5","Pollock","EM: P(Fy > Flimit)",0.00150793650793651,0.00150793650793651,0.020952380952381,0.0257142857142857,0.00515873015873016,0.00436507936507937,0.0192857142857143,0.0156349206349206,0,0,0.00238095238095238,0.00166666666666667
"6","Pollock","EM: P(SSB < SSBlimit)",0.0245238095238095,0,0.0294444444444444,0,0.0220634920634921,0,0.0223809523809524,7.93650793650794e-05,7.93650793650794e-05,0,0.00380952380952381,0.000158730158730159
"7","Pollock","OM: P(Fy > Flimit)",0.127380952380952,0.157261904761905,0.228214285714286,0.312619047619048,0.131706349206349,0.167222222222222,0.0709920634920635,0.0812698412698413,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0308730158730159,0.000158730158730159,0.0648412698412698,0.0108730158730159,0.0370634920634921,0.000317460317460317,0.0217460317460317,0.000158730158730159,0.0573809523809524,0.0641269841269841,0.552698412698413,0.539603174603175
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00123015873015873,0.000833333333333333,0.0132539682539683,0.0161111111111111,0.00301587301587302,0.0021031746031746,0.0132539682539683,0.0103571428571429,0,0,0.00238095238095238,0.00166666666666667
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.127103174603175,0.156587301587302,0.220515873015873,0.303015873015873,0.129563492063492,0.164960317460317,0.0649603174603175,0.0759920634920635,0,0,0,0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0125396825396825,0,0.0103174603174603,0,0.00984126984126984,0,0.0150793650793651,7.93650793650794e-05,0,0,0,0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0188888888888889,0.000158730158730159,0.0457142857142857,0.0108730158730159,0.0248412698412698,0.000317460317460317,0.0144444444444444,0.000158730158730159,0.0573015873015873,0.0641269841269841,0.548888888888889,0.539444444444444
"13","Pollock","OM: Terminal SSB/SSBtarget",0.308989118780092,0.295875190776981,0.281308685862378,0.270140635301945,0.305362122350198,0.290483021844678,0.330723140797975,0.315749462589837,0.971145814794393,0.971740199587639,0.594729916119394,0.595543774290281
"14","Arrowtooth flounder","Average Catch",70749.8870787663,72666.3543860662,70718.8803305469,72527.1212649016,81002.9000258865,82177.1005790593,88521.3348398563,90896.6525500635,84507.2860518469,85166.8654010697,90741.2842723148,92275.0479198994
"15","Arrowtooth flounder","Catch IAV",639.720891571632,580.396733380034,2143.80969994379,2032.25531307124,639.219966489225,601.302306032255,1881.70425384925,1714.92487725868,592.439667199501,573.467497866627,1621.23959666839,1517.37696233207
"16","Arrowtooth flounder","P(Closed)",0,0,0,0,0,0,0,0,0,0,0,0
