"","OM","EM","Species","Performance.metric","Value"
"53","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.67"
"54","SSM_OM","SS_fixM_Fspr_EM","Arrowtooth flounder","OM: Average SSB Depletion","0.668274586807017"
"55","SSM_OM","SS_estM_Fspr_EM","Pollock","Average Catch"," 2,818"
"56","SSM_OM","SS_estM_Fspr_EM","Pollock","Catch IAV","0.16"
"57","SSM_OM","SS_estM_Fspr_EM","Pollock","P(Closed)","1"
"58","SSM_OM","SS_estM_Fspr_EM","Pollock","Avg SSB Relative MSE","0.577052726726415"
"59","SSM_OM","SS_estM_Fspr_EM","Pollock","Avg terminal SSB Relative MSE","0.03"
"60","SSM_OM","SS_estM_Fspr_EM","Pollock","EM: P(Fy > Flimit)","0"
"61","SSM_OM","SS_estM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"62","SSM_OM","SS_estM_Fspr_EM","Pollock","OM: P(Fy > Flimit)","0"
"63","SSM_OM","SS_estM_Fspr_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"64","SSM_OM","SS_estM_Fspr_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"65","SSM_OM","SS_estM_Fspr_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"66","SSM_OM","SS_estM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"67","SSM_OM","SS_estM_Fspr_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"68","SSM_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal B","22,547"
"69","SSM_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal SSB"," 5,286"
"70","SSM_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal SSB Depletion","0.52"
"71","SSM_OM","SS_estM_Fspr_EM","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.51"
"72","SSM_OM","SS_estM_Fspr_EM","Pollock","OM: Average SSB Depletion","0.509452834912634"
"73","SSM_OM","SS_estM_Fspr_EM","Cod","Average Catch","   116"
"74","SSM_OM","SS_estM_Fspr_EM","Cod","Catch IAV","0.08"
"75","SSM_OM","SS_estM_Fspr_EM","Cod","P(Closed)","1"
"76","SSM_OM","SS_estM_Fspr_EM","Cod","Avg SSB Relative MSE","0.569357236431408"
"77","SSM_OM","SS_estM_Fspr_EM","Cod","Avg terminal SSB Relative MSE","0.01"
"78","SSM_OM","SS_estM_Fspr_EM","Cod","EM: P(Fy > Flimit)","0"
"79","SSM_OM","SS_estM_Fspr_EM","Cod","EM: P(SSB < SSBlimit)","0"
"80","SSM_OM","SS_estM_Fspr_EM","Cod","OM: P(Fy > Flimit)","0"
"81","SSM_OM","SS_estM_Fspr_EM","Cod","OM: P(SSB < SSBlimit)","0"
"82","SSM_OM","SS_estM_Fspr_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"83","SSM_OM","SS_estM_Fspr_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"84","SSM_OM","SS_estM_Fspr_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"85","SSM_OM","SS_estM_Fspr_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"86","SSM_OM","SS_estM_Fspr_EM","Cod","OM: Terminal B"," 1,379"
"87","SSM_OM","SS_estM_Fspr_EM","Cod","OM: Terminal SSB","   343"
"88","SSM_OM","SS_estM_Fspr_EM","Cod","OM: Terminal SSB Depletion","0.55"
"89","SSM_OM","SS_estM_Fspr_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.55"
"90","SSM_OM","SS_estM_Fspr_EM","Cod","OM: Average SSB Depletion","0.514163670652615"
"91","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Average Catch","    37"
"92","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Catch IAV","0.07"
"93","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","P(Closed)","1"
"94","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Avg SSB Relative MSE","0.290709013643374"
"95","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","Avg terminal SSB Relative MSE","0.02"
"96","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit)","0"
"97","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0"
"98","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: P(Fy > Flimit)","0"
"99","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0"
"100","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"101","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"102","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"103","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"104","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal B","   439"
"105","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB","   201"
"106","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB Depletion","0.54"
"107","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.54"
"108","SSM_OM","SS_estM_Fspr_EM","Arrowtooth flounder","OM: Average SSB Depletion","0.550760143198651"
"109","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","Average Catch"," 1,969"
"110","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","Catch IAV","0.15"
"111","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","P(Closed)","1"
"112","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","Avg SSB Relative MSE","0.64386273063983"
"113","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","Avg terminal SSB Relative MSE","0.28"
"114","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy > Flimit)","0"
"115","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"116","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","OM: P(Fy > Flimit)","0"
"117","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"118","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"119","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
"120","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"121","SSM_Ricker_OM","SS_fixM_Fspr_EM","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
