"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM_AllDown","SS_OM__SS_estM_Fspr_EM_AllDown","SSM_OM__SS_fixM_Fspr_EM_AllDown","SSM_OM__SS_estM_Fspr_EM_AllDown","MS_OM__SS_fixM_Fspr_EM_AllDown","MS_OM__SS_estM_Fspr_EM_AllDown"
"1","Pollock","Average Catch","1,705,792","1,907,874","1,996,129","3,104,449","2,515,242","3,091,088"
"2","Pollock","Catch IAV","   53,505","  263,146","   43,681","  310,391","   87,400","  409,259"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0.41","0.81","0.03","0.52","0.15","0.41"
"6","Pollock","EM: P(SSB < SSBlimit)","0.06","0.13","0.03","0.11","0.01","0.04"
"7","Pollock","OM: P(Fy > Flimit)","0.55","1","0","0.7","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.13","0.28","0.01","0.18","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03","0","0.03","0.07","0.15","0.41"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.16","0.19","0","0.26","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0.01","0.01","0","0.01","0.02"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.07","0.16","0","0.08","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.35","0.28","0.5","0.33","1.04","0.82"
"14","Cod","Average Catch","  117,942","  120,424","  118,394","  116,999","  128,997","  132,391"
"15","Cod","Catch IAV","    1,779","    1,938","    1,709","    1,656","    2,148","    2,263"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0.44","0.39","0.32","0.35","0.3","0.27"
"19","Cod","EM: P(SSB < SSBlimit)","0.02","0.02","0.02","0.02","0","0"
"20","Cod","OM: P(Fy > Flimit)","0.28","0.91","0.8","0.35","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0.05","0.06","0.06","0.05","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.27","0.02","0.03","0.18","0.3","0.27"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.11","0.54","0.51","0.18","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.03","0.04","0.04","0.03","0","0"
"26","Cod","OM: Terminal SSB Depletion","0.37","0.36","0.37","0.37","0.56","0.56"
"27","Arrowtooth flounder","Average Catch","   27,662","   28,394","   31,461","   39,345","   30,522","   31,871"
"28","Arrowtooth flounder","Catch IAV","      203","      258","      265","      672","      181","      218"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0.27","0.34","0.6","0.31","0.14","0.18"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0.01","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0.64","0.99","0","0.8","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0.01","0.01","0","0.03","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03","0","0.6","0.03","0.14","0.18"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.4","0.65","0","0.51","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0.01","0","0.02","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.39","0.38","0.47","0.36","0.48","0.47"
