"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRdown","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup","SS_OM__SS_fixM_dynamicTier3_EM_ATFRdown","SS_OM__SS_estM_Tier3_EM_ATFRup","SS_OM__SS_estM_Tier3_EM_ATFRdown","SS_OM__SS_estM_dynamicTier3_EM_ATFRup","SS_OM__SS_estM_dynamicTier3_EM_ATFRdown","SSM_OM__SS_fixM_Tier3_EM_ATFRup","SSM_OM__SS_fixM_Tier3_EM_ATFRdown","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRup","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRdown","SSM_OM__SS_estM_Tier3_EM_ATFRup","SSM_OM__SS_estM_Tier3_EM_ATFRdown","SSM_OM__SS_estM_dynamicTier3_EM_ATFRup","SSM_OM__SS_estM_dynamicTier3_EM_ATFRdown","MS_OM__SS_fixM_Tier3_EM_ATFRup","MS_OM__SS_fixM_Tier3_EM_ATFRdown","MS_OM__SS_fixM_dynamicTier3_EM_ATFRup","MS_OM__SS_fixM_dynamicTier3_EM_ATFRdown","MS_OM__SS_estM_Tier3_EM_ATFRup","MS_OM__SS_estM_Tier3_EM_ATFRdown","MS_OM__SS_estM_dynamicTier3_EM_ATFRup","MS_OM__SS_estM_dynamicTier3_EM_ATFRdown"
"1","Pollock","Average Catch",2085174.13832836,2106736.74213448,2106828.33591935,2345845.72927602,2345035.05466717,2361541.60738207,2361806.73706153,2449656.94970838,2449345.10197366,2463023.2547149,2462423.78700121,3830595.07162166,3831304.12154482,3851874.07164885,3850076.78447584,2784778.52536564,2977180.53389077,2778236.97393722,2963350.40280641,3448812.04920131,3668697.39037997,3447110.35892355,3660991.81364563
"2","Pollock","Catch IAV",83657.6258368589,69416.7957640063,69247.0765055012,304370.203377928,304148.133312547,167117.906400152,167165.309674325,68343.9962274538,67831.7679360423,61686.7497016015,61830.6920195905,413980.003933656,415212.481259874,257405.964121444,256161.368843472,129324.120460004,118785.277131883,126607.302588939,121255.895044244,520996.934538369,485574.366558138,349889.593227312,334224.673354172
"3","Pollock","P(Closed)",0,0,0,0.000387596899224806,0.000310077519379845,0,0,0,0,0,0,0.00062015503875969,0.000697674418604651,0,0,7.75193798449612e-05,0,0,0,0.00837209302325581,0.00790697674418605,0.00201550387596899,0.00193798449612403
"4","Pollock","Avg terminal SSB Relative MSE",0.00027444196739626,0.00027177640457383,0.000273468566342855,0.0135401573340533,0.0132933752642171,0.0124362478539103,0.0121668247012619,0.0839450229174233,0.0842810677643048,0.0828625697412225,0.0832486604730436,0.000660862442346288,0.000655159966259795,0.000599300514223521,0.000606949168302088,0.00317534750186888,0.00312231594168863,0.00318458462067996,0.00300209874572159,0.0125364165398586,0.0121300239529811,0.0120046718655223,0.012673020758155
"5","Pollock","EM: P(Fy > Flimit)",0,0,0,0.00821705426356589,0.00829457364341085,0.000387596899224806,0.000387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0.0313178294573643,0.0313953488372093,0.0232558139534884,0.0232558139534884
"6","Pollock","EM: P(SSB < SSBlimit)",0,0,0,0.00162790697674419,0.00170542635658915,0,0,0,0,0,0,0.000465116279069767,0.00062015503875969,0,0,0.000232558139534884,0,0,0,0.0128682170542636,0.0113178294573643,0.00542635658914729,0.00542635658914729
"7","Pollock","OM: P(Fy > Flimit)",0,0,0,0.302642276422764,0.299227642276423,0.376585365853659,0.376707317073171,0,0,0,0,8.13008130081301e-05,8.13008130081301e-05,0.510487804878049,0.511016260162602,0,0,0,0,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0,0.00302325581395349,0.00294573643410853,0.0288372093023256,0.0291472868217054,0.0531782945736434,0.0524806201550388,0,0,0,0,0.00294573643410853,0.00317829457364341,0.0137209302325581,0.0132558139534884,0,0,0,0,0.000697674418604651,0.000697674418604651,0.00108527131782946,0.00108527131782946
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0.0059349593495935,0.00601626016260163,0.00016260162601626,0.00016260162601626,0,0,0,0,0,0,0,0,0,0,0,0,0.0314227642276423,0.0315040650406504,0.0232926829268293,0.0232926829268293
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0,0.300365853658537,0.296951219512195,0.376341463414634,0.376463414634146,0,0,0,0,8.13008130081301e-05,8.13008130081301e-05,0.510487804878049,0.511016260162602,0,0,0,0,0,0,0,0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232558139534884,0,0,0,0.0121705426356589,0.0106201550387597,0.00434108527131783,0.00434108527131783
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,0.00302325581395349,0.00294573643410853,0.0272093023255814,0.0274418604651163,0.0531782945736434,0.0524806201550388,0,0,0,0,0.00248062015503876,0.00255813953488372,0.0137209302325581,0.0132558139534884,0,0,0,0,0,0,0,0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.416061888362419,0.409770011948804,0.409915490061103,0.342222121178899,0.342451190539717,0.33726876466558,0.337146787309102,0.60955909541865,0.60966400758854,0.607622814846723,0.607678335852558,0.409680503611297,0.409511454865981,0.406201581436343,0.406529790150299,1.21665082329482,1.29789295163701,1.22181518559075,1.3093100040487,0.979290351560342,1.03996141183879,0.980747211380959,1.04601647938007
"14","Cod","Average Catch",143148.340172751,144315.328692673,144350.025238145,146384.365175987,146393.450239362,147624.206475695,147554.638335594,143764.544071568,143752.488760251,144949.771457253,144945.565587119,141829.231127008,141757.977884401,143076.759016017,143032.92741208,151816.941004628,153071.961386923,152256.637414762,153355.565865162,157280.19681742,158484.115984977,157443.257501386,158619.721659343
"15","Cod","Catch IAV",3312.87166470412,2384.12990292928,2386.19009280756,3605.7396461641,3606.98721401072,2565.21826518348,2570.0750279445,3197.3310422952,3198.69974503378,2244.18660437758,2250.20910995193,3045.17550732605,3053.314442059,2201.18601262533,2189.78527648845,3758.69176364784,3708.59198908625,2850.203508197,2844.15807466181,3832.70230910977,3805.50097622819,2960.84493465625,2945.59267484767
"16","Cod","P(Closed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Cod","Avg terminal SSB Relative MSE",0.000591920287947657,0.000583085941330412,0.000623543136451514,0.000577420542863399,0.000548513532853481,0.000583966152598033,0.000578836337097737,0.000507815040510983,0.000502684986617526,0.000519396668454874,0.000518560168958006,0.000515817768838843,0.000505147261733538,0.000499185204396047,0.000499604179194562,0.00053069145237034,0.000520888393485334,0.000513769330211304,0.000526383783445487,0.000530043661010598,0.000521247171488617,0.000528287618985606,0.000508252085793454
"18","Cod","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Cod","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Cod","OM: P(Fy > Flimit)",0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0.317073170731707,0,0,0,0,0,0,0,0
