"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRup","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup","SS_OM__SS_estM_Tier3_EM_ATFRup","SS_OM__SS_estM_dynamicTier3_EM_ATFRup","SSM_OM__SS_fixM_Tier3_EM_ATFRup","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRup","SSM_OM__SS_estM_Tier3_EM_ATFRup","SSM_OM__SS_estM_dynamicTier3_EM_ATFRup","MS_OM__SS_fixM_Tier3_EM_ATFRup","MS_OM__SS_fixM_dynamicTier3_EM_ATFRup","MS_OM__SS_estM_Tier3_EM_ATFRup","MS_OM__SS_estM_dynamicTier3_EM_ATFRup"
"1","Pollock","Average Catch",151197.247637021,153216.063360271,163006.54229261,164302.115436553,144433.281400314,146048.698548203,134600.848086139,137889.436172406,233531.646607817,235962.57489267,365456.617625056,369620.278051545
"2","Pollock","Catch IAV",21566.5264296476,19208.1248375266,24810.2544209122,21331.2725174709,18813.498104498,16731.8692233207,15858.5437434421,14594.7781373919,21300.5949422998,20722.6643569499,62049.7144769543,58483.9303966663
"3","Pollock","P(Closed)",0.00420634920634921,0,0.00817460317460317,0,0.00349206349206349,0,0.00301587301587302,0,0.00468253968253968,0,0.0238095238095238,0.000476190476190476
"4","Pollock","Avg terminal SSB Relative MSE",0.00759695230130299,0.00760084355179813,0.0212101535886236,0.0187002288126727,0.0198832838420647,0.0189492996473293,0.00972400025138013,0.00730663910161712,0.022060986571453,0.023306619741817,0.055165647960789,0.0422018636549193
"5","Pollock","EM: P(Fy > Flimit)",0.00246031746031746,0.0023015873015873,0.021984126984127,0.0248412698412698,0.0046031746031746,0.00420634920634921,0.0203174603174603,0.0152380952380952,0.000158730158730159,0.000873015873015873,0.0188888888888889,0.0235714285714286
"6","Pollock","EM: P(SSB < SSBlimit)",0.00523809523809524,0,0.00912698412698413,0.000158730158730159,0.00333333333333333,0,0.00388888888888889,0,0.00531746031746032,0,0.0274603174603175,0.00111111111111111
"7","Pollock","OM: P(Fy > Flimit)",0.140674603174603,0.154047619047619,0.286626984126984,0.326785714285714,0.156388888888889,0.160357142857143,0.0712301587301587,0.0813492063492064,0,0,7.93650793650794e-05,0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0388888888888889,0.000158730158730159,0.0880952380952381,0.00492063492063492,0.0461904761904762,7.93650793650794e-05,0.0253174603174603,7.93650793650794e-05,0.184285714285714,0.200714285714286,0.699761904761905,0.694206349206349
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00186507936507937,0.00138888888888889,0.0140873015873016,0.0157936507936508,0.00253968253968254,0.00206349206349206,0.0135714285714286,0.0101984126984127,0.000158730158730159,0.000873015873015873,0.0188888888888889,0.0235714285714286
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.140079365079365,0.153134920634921,0.278730158730159,0.317738095238095,0.154325396825397,0.158214285714286,0.064484126984127,0.0763095238095238,0,0,7.93650793650794e-05,0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0.000238095238095238,0,0,0,0.000476190476190476,0,0,0,0,0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0336507936507937,0.000158730158730159,0.0792063492063492,0.00476190476190476,0.0428571428571429,7.93650793650794e-05,0.0219047619047619,7.93650793650794e-05,0.178968253968254,0.200714285714286,0.672301587301587,0.693095238095238
"13","Pollock","OM: Terminal SSB/SSBtarget",0.374345965965383,0.368086648886212,0.337292941053962,0.334326202396358,0.368884582848492,0.362994555233596,0.404148215249166,0.392436939303955,0.817510853251915,0.812327401285176,0.500839730237065,0.495230963360387
"14","Arrowtooth flounder","Average Catch",111235.533257191,111315.811276235,110202.157575947,110372.953551288,130009.91995708,129899.223211801,144670.080516094,144674.832497282,130385.096876152,130236.654216723,141814.017445741,141765.716223993
"15","Arrowtooth flounder","Catch IAV",452.243943730828,447.016345222955,1428.63436878187,1405.54526788084,495.653359998696,504.889467692724,1240.35029207596,1224.90244543207,482.184627328426,495.857329902855,1141.39499694133,1142.00556180134
"16","Arrowtooth flounder","P(Closed)",0,0,0,0,0,0,0,0,0,0,0,0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00270750463653784,0.00283496204462155,0.00327890659414833,0.00329205452223552,0.135228009594203,0.134991013691748,0.0145715573053094,0.014704390002789,0.163349575220973,0.163221579774074,0.0157925942819955,0.015582748250891
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0,0,0.0380555555555556,0.0382539682539683,0,0,0,0,0,0,0,0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0.0380555555555556,0.0382539682539683,0,0,0,0,0,0,0,0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
