"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRdown","SS_OM__SS_fixM_dynamicTier3_EM_ATFRdown","SS_OM__SS_estM_Tier3_EM_ATFRdown","SS_OM__SS_estM_dynamicTier3_EM_ATFRdown","SSM_OM__SS_fixM_Tier3_EM_ATFRdown","SSM_OM__SS_fixM_dynamicTier3_EM_ATFRdown","SSM_OM__SS_estM_Tier3_EM_ATFRdown","SSM_OM__SS_estM_dynamicTier3_EM_ATFRdown","MS_OM__SS_fixM_Tier3_EM_ATFRdown","MS_OM__SS_fixM_dynamicTier3_EM_ATFRdown","MS_OM__SS_estM_Tier3_EM_ATFRdown","MS_OM__SS_estM_dynamicTier3_EM_ATFRdown"
"1","Pollock","Average Catch",151179.64892153,153055.151779361,163154.043578607,164534.770090608,144263.784625349,145874.990846455,134472.668718571,137655.969831055,331755.166213606,330985.828480656,533610.40676009,535414.164577322
"2","Pollock","Catch IAV",21373.0983705336,19019.5199267917,25148.4372618246,21576.8351425704,19015.0073126231,16528.5008045174,15871.9915192913,14842.8588531894,25856.6801298065,27114.5341892298,71304.1020416361,74100.5762748224
"3","Pollock","P(Closed)",0.00428571428571429,0,0.00809523809523809,0,0.00436507936507937,0,0.00357142857142857,0,0,0,0.00119047619047619,7.93650793650794e-05
"4","Pollock","Avg terminal SSB Relative MSE",0.00839930975916743,0.00765077629126317,0.0228578435111287,0.0205716521096154,0.0190081556077771,0.0191778762361187,0.00962425113586588,0.00725883331595185,0.0187170409568386,0.0187999821736341,0.0771548598603593,0.0847408925731198
"5","Pollock","EM: P(Fy > Flimit)",0.00214285714285714,0.00158730158730159,0.0225396825396825,0.0234920634920635,0.00444444444444444,0.00444444444444444,0.0203174603174603,0.0158730158730159,0,0,0.00261904761904762,0.00142857142857143
"6","Pollock","EM: P(SSB < SSBlimit)",0.0053968253968254,0,0.00904761904761905,0.000158730158730159,0.00380952380952381,0,0.00476190476190476,0,0,0,0.00103174603174603,7.93650793650794e-05
"7","Pollock","OM: P(Fy > Flimit)",0.14,0.151785714285714,0.28984126984127,0.328928571428571,0.153849206349206,0.158849206349206,0.0710714285714286,0.0824603174603175,0,0,0,0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0384920634920635,0.000158730158730159,0.0899206349206349,0.0053968253968254,0.0448412698412698,0.000158730158730159,0.0236507936507937,7.93650793650794e-05,0.0614285714285714,0.0595238095238095,0.536587301587302,0.519126984126984
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00174603174603175,0.000912698412698413,0.0149206349206349,0.0148809523809524,0.00238095238095238,0.00218253968253968,0.0136904761904762,0.0106349206349206,0,0,0.00261904761904762,0.00142857142857143
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.139603174603175,0.151111111111111,0.282222222222222,0.32031746031746,0.151785714285714,0.156587301587302,0.0644444444444444,0.0772222222222222,0,0,0,0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0.000158730158730159,0,0,0,0.000555555555555556,0,0,0,0,0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0330952380952381,0.000158730158730159,0.081031746031746,0.00523809523809524,0.041031746031746,0.000158730158730159,0.0194444444444444,7.93650793650794e-05,0.0614285714285714,0.0595238095238095,0.535555555555556,0.519047619047619
"13","Pollock","OM: Terminal SSB/SSBtarget",0.3745075346288,0.368477525116214,0.337193740694362,0.333593845872392,0.369381800429548,0.363633065254448,0.404396989101258,0.393267915849343,1.23706704132881,1.24059004729933,0.743674882723902,0.751055108127068
"14","Arrowtooth flounder","Average Catch",70759.5655197709,72671.3902797404,70716.7588849129,72525.8438054169,80999.7165134066,82190.4592802434,88532.7063610215,90860.278792316,84432.8406808001,85079.3749566282,90742.279303064,92219.8622225195
"15","Arrowtooth flounder","Catch IAV",640.407185152854,580.250795850588,2144.99004947773,2032.97533335556,638.731280797635,601.420081618128,1882.29126882476,1716.09024310345,592.630402367267,573.941924621398,1620.69682920181,1518.147318787
"16","Arrowtooth flounder","P(Closed)",0,0,0,0,0,0,0,0,0,0,0,0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00207139189275711,0.002344674640974,0.00287122495804048,0.00325031350421215,0.128833074080641,0.130145672856239,0.0121853756384981,0.0131320427130631,0.163860206133152,0.164263900585708,0.0146327211031124,0.0153743672361021
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0,0,0.0388492063492063,0.0388492063492063,0,0,0,0,0,0,0,0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0,0,0,0,0,0,0,0,0,0,0,0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,0,0.0388492063492063,0.0388492063492063,0,0,0,0,0,0,0,0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,0,0,0,0,0,0,0,0,0,0,0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.368124627138483,0.35820123919155,0.367725880345453,0.358183060938433,0.401913377284538,0.398042110921266,0.362973307287885,0.353571677272233,0.422122024345065,0.42055864288174,0.394731304533432,0.38955092241857
"27","Cod","Average Catch",31771.4491435322,31684.887208337,25994.1894184082,26030.7809038964,20297.8786217025,20525.1698891992,13730.6208351298,14734.9317631235,31163.7957095536,31062.3892060681,23945.6222348436,24019.5576787307
"28","Cod","Catch IAV",12985.5900101527,11310.6150974774,6868.69335679929,6531.56769483405,12617.1223189231,9187.11018750915,2191.70352120196,1707.88253560333,10905.7433223106,9495.09234697183,4409.61827694184,4216.1892889216
"29","Cod","P(Closed)",0.0318253968253968,0.000555555555555556,0.0161111111111111,0.000158730158730159,0.0651587301587302,0.0257936507936508,0.101587301587302,0.00333333333333333,0.0473809523809524,0.00134920634920635,0.0346825396825397,0
"30","Cod","Avg terminal SSB Relative MSE",0.00537565823665103,0.00275288922040232,0.022988763639141,0.0220706199683575,0.158510355028659,0.119304700621229,0.0056893822651876,0.00272413116856518,0.0277529119298699,0.0190693883524535,0.00868147094600909,0.00960987503533696
"31","Cod","EM: P(Fy > Flimit)",0.0197619047619048,0.0133333333333333,0.00301587301587302,0.00238095238095238,0.1,0.128174603174603,0.000714285714285714,0.000238095238095238,0.0396031746031746,0.0452380952380952,0.000952380952380952,0.000476190476190476
"32","Cod","EM: P(SSB < SSBlimit)",0.0479365079365079,0.00103174603174603,0.0381746031746032,0.000158730158730159,0.0778571428571429,0.0515079365079365,0.104206349206349,0.049047619047619,0.0515079365079365,0.0238888888888889,0.0481746031746032,0
"33","Cod","OM: P(Fy > Flimit)",0.0308730158730159,0.0284920634920635,3.96825396825397e-05,0,0.631746031746032,0.653730158730159,0.166666666666667,0.166904761904762,0,0.000476190476190476,0,0
"34","Cod","OM: P(SSB < SSBlimit)",0.0733333333333333,0.00206349206349206,0.0457142857142857,7.93650793650794e-05,0.514285714285714,0.461111111111111,0.100952380952381,0.0476190476190476,0.143095238095238,0.150555555555556,0.0764285714285714,0.0788888888888889
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0186904761904762,0.011984126984127,0.00301587301587302,0.00238095238095238,0.0419444444444444,0.0555555555555556,0.000317460317460317,0.000238095238095238,0.0396031746031746,0.0447619047619048,0.000952380952380952,0.000476190476190476
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0298015873015873,0.0271428571428571,3.96825396825397e-05,0,0.573690476190476,0.581111111111111,0.166269841269841,0.166904761904762,0,0,0,0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000158730158730159,0.000238095238095238,0.00166666666666667,7.93650793650794e-05,0,0,0.00357142857142857,0.00142857142857143,0,0,7.93650793650794e-05,0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0255555555555556,0.00126984126984127,0.00920634920634921,0,0.436428571428571,0.409603174603175,0.000317460317460317,0,0.0915873015873016,0.126666666666667,0.0283333333333333,0.0788888888888889
"39","Cod","OM: Terminal SSB/SSBtarget",0.374517255838242,0.374130915744957,0.464708805314372,0.462974687624479,0.196065327392154,0.190525054976341,0.407366029781282,0.392530004584879,0.383545411783187,0.387397805705967,0.531431020325837,0.533914967948501
