"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM_AllUp","SS_OM__SS_estM_Fspr_EM_AllUp","SSM_OM__SS_fixM_Fspr_EM_AllUp","SSM_OM__SS_estM_Fspr_EM_AllUp","MS_OM__SS_fixM_Fspr_EM_AllUp","MS_OM__SS_estM_Fspr_EM_AllUp"
"1","Pollock","Average Catch","219,253","235,895","208,443","194,620","337,483","530,611"
"2","Pollock","Catch IAV"," 25,088"," 26,928"," 21,876"," 17,385"," 28,201"," 71,870"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.02","0.02","0.01","0.02","0.04"
"5","Pollock","EM: P(Fy > Flimit)","0.59","0.62","0.47","0.6","0.31","0.45"
"6","Pollock","EM: P(SSB < SSBlimit)","0.01","0.02","0.01","0.01","0","0.03"
"7","Pollock","OM: P(Fy > Flimit)","0.94","0.99","0.93","0.52","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.02","0.04","0.02","0.01","0","0.06"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.01","0","0","0.23","0.31","0.45"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.36","0.37","0.46","0.15","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0.02","0.01","0.01","0","0.04"
"13","Pollock","OM: Terminal SSB Depletion","0.55","0.5","0.54","0.59","1.1","0.65"
"27","Cod","Average Catch"," 45,944"," 38,266"," 29,470"," 20,401"," 38,129"," 29,326"
"28","Cod","Catch IAV"," 13,676","  8,694","  8,490","  1,990","  9,144","  4,426"
"29","Cod","P(Closed)","0","0","0","0","0","0"
"30","Cod","Avg terminal SSB Relative MSE","0","0.02","0.12","0.01","0.02","0.01"
"31","Cod","EM: P(Fy > Flimit)","0.38","0.3","0.6","0.43","0.43","0.3"
"32","Cod","EM: P(SSB < SSBlimit)","0.05","0.05","0.09","0.1","0.06","0.05"
"33","Cod","OM: P(Fy > Flimit)","0.72","0","1","0.08","0.02","0"
"34","Cod","OM: P(SSB < SSBlimit)","0","0","0.15","0","0.11","0.03"
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.02","0.3","0","0.36","0.41","0.3"
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.37","0","0.4","0","0","0"
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0.05","0.05","0.02","0.1","0","0.03"
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0.08","0","0.05","0"
"39","Cod","OM: Terminal SSB Depletion","0.6","0.73","0.33","0.68","0.44","0.6"
"14","Arrowtooth flounder","Average Catch","111,368","110,225","130,022","144,898","130,522","142,198"
"15","Arrowtooth flounder","Catch IAV","    444","  1,397","    495","  1,195","    483","  1,110"
"16","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0.14","0.01","0.16","0.02"
"18","Arrowtooth flounder","EM: P(Fy > Flimit)","0.02","0.1","0.03","0.02","0.04","0.02"
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Arrowtooth flounder","OM: P(Fy > Flimit)","0.23","0.2","0","0.1","0","0"
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0.03","0","0.04","0.02"
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.21","0.1","0","0.08","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: Terminal SSB Depletion","0.59","0.6","0.67","0.6","0.6","0.56"
