"","Species","Performance.metric","SS_OM__SS_fixM_Fspr_EM_ATFRdown","SS_OM__SS_estM_Fspr_EM_ATFRdown","SSM_OM__SS_fixM_Fspr_EM_ATFRdown","SSM_OM__SS_estM_Fspr_EM_ATFRdown","MS_OM__SS_fixM_Fspr_EM_ATFRdown","MS_OM__SS_estM_Fspr_EM_ATFRdown"
"1","Pollock","Average Catch","2,136,349","2,392,474","2,506,789","3,930,050","3,022,178","3,707,961"
"2","Pollock","Catch IAV","   55,663","  228,153","   48,871","  298,784","   96,353","  381,676"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0.33","0.76","0.02","0.44","0.21","0.45"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.03","0","0.02","0","0.02"
"7","Pollock","OM: P(Fy > Flimit)","0.45","1","0","0.71","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.01","0.06","0","0.03","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03","0","0.02","0.05","0.21","0.45"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.15","0.24","0","0.31","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0.01","0","0","0","0.01"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0.04","0","0.01","0","0"
"13","Pollock","OM: Terminal SSB Depletion","0.43","0.35","0.63","0.41","1.22","0.97"
"14","Cod","Average Catch","  147,038","  150,198","  147,530","  145,690","  156,896","  161,932"
"15","Cod","Catch IAV","    2,029","    2,181","    1,942","    1,876","    2,458","    2,572"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0.37","0.33","0.27","0.29","0.27","0.23"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0.19","0.88","0.73","0.28","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.27","0.02","0.03","0.17","0.27","0.23"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.08","0.58","0.49","0.15","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Cod","OM: Terminal SSB Depletion","0.45","0.44","0.44","0.45","0.65","0.66"
"27","Arrowtooth flounder","Average Catch","   27,663","   28,393","   31,460","   39,361","   29,779","   31,187"
"28","Arrowtooth flounder","Catch IAV","      203","      259","      265","      670","      183","      219"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0.27","0.33","0.6","0.32","0.16","0.2"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0.64","0.99","0","0.81","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0.01","0.01","0","0.03","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0.03","0","0.6","0.03","0.16","0.2"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.4","0.66","0","0.52","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0.01","0.01","0","0.02","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.39","0.38","0.47","0.36","0.48","0.47"
