"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1",0.9,0.411285288752898,1.39,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.269385523,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"2",0.45,0.411285288752898,0.69,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.263833622,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"3",0.3,0.411285288752898,0.48,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.258404115,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"4",0.3,0.411285288752898,0.37,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.253151554,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"5",0.3,0.411285288752898,0.34,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.248123195,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"6",0.3,0.411285288752898,0.3,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.243357575,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"7",0.3,0.411285288752898,0.3,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.238883765,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"8",0.3,0.411285288752898,0.29,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.234721282,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"9",0.3,0.411285288752898,0.28,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.230880556,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"10",0.3,0.411285288752898,0.29,0.301782981876766,0.38,0.369334018548463,0.504911,0.333879551359514,0.227363829,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"11",0.3,0.411285288752898,NA,NA,0.38,0.369334018548463,0.504911,0.333879551359514,0.224166342,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"12",0.3,0.411285288752898,NA,NA,0.38,0.369334018548463,0.504911,0.333879551359514,0.22127766,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,0.218683004,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,0.216364523,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,0.21430242,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,0.212475904,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,0.210863973,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,0.209446003,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,0.208202198,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.207113881,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.206163692,0.339236199927399,0.2,0.286895483218331,0.35,0.365393066711707,NA,NA
