"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_ATFRdown"
"1","Pollock","Average Catch",153055.151779361
"2","Pollock","Catch IAV",19019.5199267917
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00765077629126317
"5","Pollock","EM: P(Fy > Flimit)",0.00158730158730159
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.151785714285714
"8","Pollock","OM: P(SSB < SSBlimit)",0.000158730158730159
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000912698412698413
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.151111111111111
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000158730158730159
"13","Pollock","OM: Terminal SSB/SSBtarget",0.368477525116214
"14","Arrowtooth flounder","Average Catch",72671.3902797404
"15","Arrowtooth flounder","Catch IAV",580.250795850588
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.002344674640974
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.35820123919155
"27","Cod","Average Catch",31684.887208337
"28","Cod","Catch IAV",11310.6150974774
"29","Cod","P(Closed)",0.000555555555555556
"30","Cod","Avg terminal SSB Relative MSE",0.00275288922040232
"31","Cod","EM: P(Fy > Flimit)",0.0133333333333333
"32","Cod","EM: P(SSB < SSBlimit)",0.00103174603174603
"33","Cod","OM: P(Fy > Flimit)",0.0284920634920635
"34","Cod","OM: P(SSB < SSBlimit)",0.00206349206349206
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.011984126984127
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0271428571428571
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000238095238095238
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00126984126984127
"39","Cod","OM: Terminal SSB/SSBtarget",0.374130915744957
