"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch",153208.436136164
"2","Pollock","Catch IAV",19067.3847913807
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00757682754769
"5","Pollock","EM: P(Fy > Flimit)",0.00174603174603175
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.305873015873016
"8","Pollock","OM: P(SSB < SSBlimit)",0.000158730158730159
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.304206349206349
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000158730158730159
"13","Pollock","OM: Terminal SSB/SSBtarget",0.368081628443945
"14","Arrowtooth flounder","Average Catch",85789.5374476456
"15","Arrowtooth flounder","Catch IAV",490.973299770322
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00262035032286346
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.421620789372993
"27","Cod","Average Catch",31705.3899737194
"28","Cod","Catch IAV",11338.3527037126
"29","Cod","P(Closed)",0.000714285714285714
"30","Cod","Avg terminal SSB Relative MSE",0.0027539192403418
"31","Cod","EM: P(Fy > Flimit)",0.0145238095238095
"32","Cod","EM: P(SSB < SSBlimit)",0.00126984126984127
"33","Cod","OM: P(Fy > Flimit)",0.0575396825396825
"34","Cod","OM: P(SSB < SSBlimit)",0.00182539682539683
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000634920634920635
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0436507936507936
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000158730158730159
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000714285714285714
"39","Cod","OM: Terminal SSB/SSBtarget",0.373955746418952
